event_id,user_id,device_model,os_type,roaming_status,network_type,event_time,location,event_type,is_fraud,extra_column
2155876e-af8b-4a37-a50d-3ce3b0413e25,497.688.3628,reduce,amount,True,LTE,2025-02-12 08:44:51,"82.4110702911999,69.82839366808719",reboot,True,
aa46ef85-cb29-4cf2-9a30-df767110f430,001-622-807-1249,follow,class,True,LTE,2025-04-12 20:05:59,"-56.92186863314587,-72.90168848931177",reboot,False,
3809e70f-d9c2-459e-ac56-44f28eda2a52,283.423.6268,may,laugh,False,LTE,2025-02-23 21:12:03,"63.01188201557815,-56.858341507859734",SIM switch,,
8a5ed046-4873-428c-aa1a-f31856f10b64,(314)216-9516x97359,one,design,False,5G,2025-03-03 21:33:54,"-51.1468891582048,179.90551492322726",SIM switch,False,
d4c3bb4f-39bd-43f7-b892-ebc931a60633,705-900-7345x644,side,particularly,False,WiFi,2025-03-02 22:39:56,"-26.46898111386107,78.95152006715944",reboot,True,
325f65e8-4932-4c5a-aece-ef5e1bbc812b,463-490-9472x4578,special,speech,True,LTE,2025-02-24 18:11:38,"-24.74936750547876,170.12238423065617",reboot,True,
7c535197-ab48-4642-93c6-dbac440ec64f,968-578-9676,game,science,True,WiFi,2025-03-05 08:20:35,"-34.27436315205646,-117.71248347886471",SIM switch,True,
0dc529f4-9be9-407e-9ded-ec60096acae9,001-488-230-5912x617,turn,answer,True,LTE,2025-03-31 06:45:19,"-20.024800912935817,39.57911329106031",SIM switch,,
16bd1d02-30c7-4e25-bfb8-e9f27be57a55,(343)419-1591x903,all,interesting,True,WiFi,2025-01-16 13:02:51,"37.107513104370796,-4.484793986098282",SIM switch,,
22345405-5d96-414b-8628-01c6d2189a96,001-963-687-4033x0650,nation,single,False,5G,2025-01-31 11:38:46,"-14.2577779358422,150.5878163733642",reboot,True,
291eb56c-7656-41b5-803f-f90ab8756c5f,(461)667-6719,plan,forward,False,LTE,2025-02-03 23:27:27,"80.27524756386498,120.48711950004838",reboot,False,
967cf93e-c363-410b-a6ae-acb6b28c744c,924.654.8625x0493,always,structure,False,LTE,2025-02-06 01:31:42,"21.8243548268087,48.147987802692995",reboot,False,
9f9e61f2-fb83-4f31-a841-0282362cfce1,280.797.3195,box,somebody,True,LTE,2025-02-04 11:55:57,"-10.793068605981617,151.5546844751089",reboot,False,
9af1c250-2522-48e8-9135-91aed10f84fe,926-222-9712,build,create,False,LTE,2025-04-27 04:52:12,"-77.67368294074677,11.852297113593153",reboot,False,
38927b0f-d456-4234-b02e-d9da80571799,746-286-5122,church,chance,False,5G,2025-01-28 03:25:24,"-23.778992244739726,-27.226372867481047",SIM switch,True,
d1074229-cfe3-48f7-8dc4-15f5273622c2,(971)950-9346,assume,body,False,WiFi,2025-01-24 02:57:24,"70.16030062202015,135.46320804232386",reboot,True,
f8434243-b03d-4057-817a-f7f484354059,+1-983-674-1038x7186,baby,network,True,WiFi,2025-03-07 08:42:17,"5.193101132957494,-2.9498187401730434",SIM switch,True,
07164786-4993-4b7f-b61c-73cd837f0faf,3098972693,cause,from,True,LTE,2025-03-29 11:03:21,"-29.431935245938774,136.23087124742284",reboot,False,
b40a64d6-06eb-44d4-94ab-19d996958c7d,616.430.4912x46194,indeed,themselves,False,WiFi,2025-02-26 08:18:09,"34.65758727864305,-93.98288773641876",SIM switch,False,
0c6f87b2-a3cb-4db7-964b-88fb2ab68b60,252.990.2787x629,indicate,interest,True,LTE,2025-02-20 14:21:17,"27.671374329329822,75.47581334474313",reboot,True,
7c01792c-63ca-44b5-a1b7-fe7640beefdc,222.537.3831,quite,total,False,5G,2025-01-27 21:28:23,"-49.53078400655192,109.70548334884398",reboot,,
2a307c72-1e4e-4dcc-bd72-d3a44d357368,6029565124,Mr,cultural,False,WiFi,2025-03-12 14:28:29,"-23.021379541448127,-96.89786842820006",SIM switch,True,
1b82d0aa-5d28-459b-aa43-7c16157c48c7,(376)503-2522x08922,write,view,False,WiFi,2025-01-05 03:36:17,"84.32925769920229,28.67246684517403",reboot,False,
04220d68-c3a2-4929-8412-4d1b3ebe6584,548-388-9334x29973,fear,page,True,WiFi,2025-03-25 23:08:19,"4.2287706399119,135.49623862246665",SIM switch,True,
f24d7e41-5653-4442-a288-b77e802a4220,(960)572-0808,decade,music,False,WiFi,2025-03-14 00:16:27,"9.272784623707295,-55.73616836759969",reboot,True,
7aa27eed-2845-4714-9b5f-5e9a42e90b35,(646)817-0801,case,office,False,5G,2025-04-22 10:05:22,"87.79290393060023,79.74177284639336",SIM switch,,
381edc77-b1e9-465c-8425-e6b9861ff6fd,001-313-811-8591x9556,citizen,personal,False,5G,2025-04-02 07:24:40,"-44.4665458797992,98.93032309532651",reboot,True,
02253f89-37f6-4ca8-b90e-f6fd5f826ba2,+1-406-666-9414x96159,or,letter,True,5G,2025-03-14 23:26:20,"-69.23188737950315,-129.01507702849614",SIM switch,False,
e0e9f753-b079-4f18-ac6c-4a6a666fde9d,(696)664-8141,game,Democrat,True,LTE,2025-02-27 03:05:45,"44.190322060004746,-56.86932974000288",SIM switch,False,
e93620ce-044d-4d24-8c02-a66e7dd892c7,001-722-350-2548x671,operation,southern,True,5G,2025-03-26 19:58:08,"-1.9365047151482315,120.0856677340164",reboot,,
ec136512-ab7e-4c83-8504-9b7a963855be,955-574-6000,production,citizen,False,WiFi,2025-03-29 09:33:00,"74.1071872596417,-83.60874183343665",reboot,,
11a49655-8d5a-4b82-b25a-e8c076895b3f,+1-354-231-8867x4990,plant,skin,False,LTE,2025-03-07 07:29:28,"-53.39837404454586,67.03210624306485",reboot,True,
2ba27fa4-afc8-45b8-9cc5-1d22249b6c64,9508941393,film,newspaper,False,LTE,2025-03-18 07:12:50,"-72.77647531825748,0.6968532603815447",reboot,,
ed1da292-f117-4f57-8ad0-fe1000244e62,874-835-3034x5154,decade,yeah,True,LTE,2025-01-01 23:49:43,"-1.158531765500939,63.13223570562559",SIM switch,False,
5b322ad6-d76f-40c7-8c60-c8db0ef41729,641-748-1994x05761,discuss,ten,False,5G,2025-01-22 12:55:11,"83.06346328715972,-144.27308768531185",reboot,False,
f50af4a8-9dac-4918-bcd7-b26566d22e03,(465)827-0917,son,stand,True,LTE,2025-01-21 01:06:15,"30.022215818370967,-20.44699353493303",SIM switch,False,
98f3a20c-ff1c-4947-bfb1-120a38d9ef2b,695.263.7702,film,leave,False,LTE,2025-01-31 10:52:15,"57.867259909714164,57.97661282655858",reboot,True,
4c52f8ad-8982-4f4e-8548-e5318f355461,981.341.0663x5448,make,market,True,WiFi,2025-02-19 21:38:54,"67.58117140207679,129.69552028325006",reboot,,
58b2a7f0-6fc2-44c0-851e-6fd464ea8af6,793.780.1646,opportunity,answer,True,5G,2025-03-11 22:59:10,"-69.6440429157802,-22.62052737442727",SIM switch,True,
65fb8713-2145-49e7-a321-cd5b79ddd531,3193024375,born,should,False,LTE,2025-02-24 06:31:39,"-32.72617715084526,-57.902446502753676",reboot,,
271cbd32-4bbb-4d67-bd9e-4c2a94edc44f,559.323.8825x96505,science,various,False,LTE,2025-04-24 04:06:39,"-24.961718840189846,149.8448125225746",reboot,True,
75229cd6-11c4-4a87-aa47-db9d8115d626,587.237.0782x09603,age,such,True,5G,2025-02-18 16:15:20,"48.92502432845683,-174.03021610290523",reboot,False,
52810a55-a64d-4dbe-88b6-0a4e3b84efbb,748.239.3943x312,some,total,True,LTE,2025-01-08 18:50:50,"-48.22106014099784,-30.190338413638585",reboot,False,
fec1d3ba-d4db-46e2-af11-e5e4809dd17c,+1-485-641-2172x07788,standard,now,True,WiFi,2025-03-20 03:38:39,"-24.104049179507527,-103.76197322460592",reboot,True,
214fc1e6-370c-45aa-8367-442e546681ca,+1-510-777-6965x727,plant,alone,True,WiFi,2025-03-31 00:53:22,"-79.99677840149342,-87.60009434833825",SIM switch,False,
65fd46b4-a2ff-4011-98d7-c4d736a7cbbb,001-600-869-6878x4780,cold,wall,False,LTE,2025-01-17 15:28:46,"11.881253630420588,48.48746219234155",reboot,True,
39081908-e6ba-4571-8a94-5e51c9ebfcb9,(631)584-3935x36272,anyone,win,False,WiFi,2025-01-15 02:30:30,"56.254698008637206,-179.98490538822392",reboot,,
0058f349-3751-417a-bd6a-743ccd9d7dd6,001-502-775-5796x1815,despite,option,False,5G,2025-02-02 00:30:29,"41.76832910850928,-38.36834178799603",reboot,True,
94324074-f134-4905-9a7d-213019957152,935-798-8988,military,end,True,WiFi,2025-03-02 02:49:22,"63.73759013442776,80.63042307048028",reboot,True,
547a4783-fe55-43e0-86f5-76c09fde58e2,937-431-1245,want,race,True,5G,2025-03-13 03:03:37,"49.12888226426958,97.98066311947372",SIM switch,,
ef20b4eb-e9b8-48c2-86da-3acec847823a,+1-697-967-0357,newspaper,can,False,LTE,2025-02-01 06:29:01,"86.06333257726146,79.7404654326254",reboot,True,
7dee9495-deaf-4e5c-bca5-6be6f68c5ad2,001-482-773-2127,Democrat,politics,True,WiFi,2025-04-09 21:33:12,"7.628547280278994,-88.40001225166259",reboot,True,
c4fa2627-1805-42be-b9d9-948679c2025a,+1-200-219-7453x618,land,fly,True,5G,2025-04-25 11:08:36,"81.62332164970138,92.66397165384456",reboot,False,
5c234773-2d92-46c7-9e97-e8dc80ccb11f,974.654.4340x9142,general,difficult,False,5G,2025-03-28 14:05:39,"-19.743463828953608,22.91161321459748",SIM switch,False,
3da27dc9-b0d0-469f-99c2-99e8a6c8655a,+1-242-828-6701x780,rise,address,False,WiFi,2025-01-08 10:45:55,"-64.38693794353294,-62.94980802953653",SIM switch,False,
2fb8f05f-a4c4-43ed-a864-c09f7936c396,5524554159,hand,capital,False,WiFi,2025-02-24 20:18:24,"23.782357306500757,95.6504644613463",SIM switch,False,
753da586-a9b0-441e-a7cf-3b7f75fa47dc,4383340328,six,law,True,WiFi,2025-04-28 03:23:22,"12.595940819629718,18.491284640241815",SIM switch,True,
0e0018ac-33f4-4cbc-a259-1b6af8d0cd19,001-585-640-0085x93733,to,board,False,LTE,2025-02-07 22:07:08,"-21.909539340180586,88.17755135361222",SIM switch,True,
2b459dd2-6a7a-4b63-8116-fce7f6a35464,492.832.6588,decide,ahead,True,WiFi,2025-04-14 03:19:26,"-7.830610403552058,4.946174047403758",SIM switch,,
e38eb156-0e74-4b3c-a20a-b4828b087e8e,8424469414,evening,course,True,WiFi,2025-02-27 10:30:00,"-77.62979799881253,147.89964719746808",SIM switch,True,
209134e2-b354-46b7-bad5-d5d3752d6b6b,398.293.9199,follow,sense,True,WiFi,2025-04-15 10:21:08,"-18.604947439432166,-176.72087183636964",reboot,True,
97262691-2c6a-4539-a51b-16fc62b1cb8b,(954)703-3296x2152,offer,star,True,5G,2025-02-12 00:05:48,"-71.41376388254766,-127.78110198131603",SIM switch,False,
194ea528-3cab-4842-921c-620b98151393,+1-760-424-4419x673,send,improve,True,WiFi,2025-02-23 18:57:15,"86.79643234659375,-43.887100149442006",reboot,True,
a4eab3ec-c922-42e7-9a18-0385a22bca65,739.460.0403x8206,choice,send,False,5G,2025-04-19 05:01:41,"-22.536475905604206,41.93759698927832",reboot,,
d8608262-6bdb-4fbe-b019-ff2f9bf9337e,(543)629-2210x54970,expect,free,False,LTE,2025-02-06 14:26:43,"-54.66475091123124,-38.6618677478057",reboot,,
8a7ed0e1-ef85-480f-85a7-925c15b4aa9c,+1-651-246-9485x6818,method,city,False,5G,2025-03-04 08:52:12,"-47.80960251344495,39.698220335297776",reboot,,
f7ef3a7d-6057-4bba-81c5-c5f757a163f7,523.466.7283x09989,stage,pull,False,WiFi,2025-03-14 04:56:34,"-86.44501830296888,113.76585840037467",reboot,False,
5f36b721-00eb-45b5-8efd-7394ebeb0464,598.608.3451x83133,grow,economic,True,5G,2025-03-26 00:31:29,"-40.326373894774974,-171.85288149548666",reboot,,
eb5037a9-6f58-418b-93ee-79b68e0efa6b,(688)511-3003x46480,degree,break,True,5G,2025-02-26 22:20:53,"83.61274622275968,88.10511012502667",reboot,False,
5e984fb3-8866-4cc2-ab7b-4698c1b2793d,(476)521-2331,their,degree,True,5G,2025-01-20 22:09:40,"30.318348809639332,53.54370123455834",reboot,,
9df32f36-d1fd-4c41-b2ae-192be3f68828,+1-893-214-9690,card,many,True,5G,2025-01-31 20:50:23,"25.388148193968917,76.70582705175326",reboot,,
1680efcd-c33b-415a-ab43-7f9855bd2517,4887526214,four,western,True,WiFi,2025-02-07 05:50:33,"66.40787380091771,-62.28370101541587",reboot,,
32303fd7-4cb7-421b-9080-c555b47a2544,001-499-231-3212x405,others,social,False,5G,2025-02-08 12:57:51,"-31.947898411815082,146.23106339704583",SIM switch,,
8e878793-9025-494e-88ec-7065ce4a3762,542.348.4590,similar,decision,False,LTE,2025-03-16 03:09:52,"5.553234086694559,-131.98298587305496",SIM switch,,
4d5e1e0a-6473-4d7d-a876-b42315c6a991,978.531.5117x54754,might,from,False,LTE,2025-02-18 15:46:39,"-52.91128895235096,-76.29446114164129",reboot,True,
bb80e189-8456-4ddb-991e-73bcbc328049,297-860-6444x85059,suggest,decide,False,5G,2025-02-04 10:57:42,"39.149142056407555,77.83579954768578",SIM switch,,
df42c91c-2612-4c9d-91ff-fd6f978ab448,794-889-3132,eye,effort,False,LTE,2025-02-24 00:59:09,"-50.42861330024718,132.66113383018774",SIM switch,True,
ff7c0a95-6281-444b-9927-88448a01f0e6,001-209-276-4092x144,serve,rule,False,5G,2025-01-29 07:17:25,"6.077196364891634,175.50959305629965",reboot,,
bf469326-d853-4303-8dca-c4d9d36ee2fe,(299)946-4572x3641,article,voice,False,5G,2025-03-22 23:01:31,"-81.81158229090339,71.99224280601706",SIM switch,False,
72223aa5-3490-450d-a027-f16a825c846d,(440)569-0063x01081,consumer,person,False,LTE,2025-03-17 11:54:51,"-65.54248577054094,-54.44703344874024",SIM switch,True,
5e25f8d5-6b31-4abe-a047-1adf3c1d3ffc,001-629-705-8115x0991,unit,board,True,WiFi,2025-04-17 21:05:08,"-6.857149437131142,164.15067567355226",reboot,,
6013a069-83cc-4bc1-98f6-3d0d9603af24,3248474922,ever,level,False,WiFi,2025-03-04 11:16:33,"36.267075162717234,57.773508804565154",SIM switch,True,
05464c8c-df9c-4fb6-83e4-94d4d8a2fc55,(957)225-2851,community,top,False,5G,2025-04-02 22:51:02,"49.36650354205318,-87.35623158928014",SIM switch,True,
2a0cffa6-9471-4ea9-bd52-59c49804daa6,487.775.7256x5198,along,capital,False,LTE,2025-04-12 18:28:12,"-19.720799155358065,162.0059191328719",SIM switch,True,
ece73192-f0a9-4dd2-a93a-45fc97c01d91,332.243.0276x4976,hope,small,False,WiFi,2025-01-18 02:51:53,"-74.79017225936809,-9.030694085097508",SIM switch,False,
7a1b87b2-7f60-4e1c-80de-3ea5ff8027b9,001-555-413-9982x105,worry,morning,True,WiFi,2025-02-02 17:33:33,"-46.00925427135065,149.961031474075",SIM switch,False,
26779694-aa80-4175-8811-55aef1bec9e6,254.425.1730,somebody,letter,False,WiFi,2025-04-15 15:25:18,"60.25294327609234,122.03112181034248",reboot,,
c5f1ff41-7568-440b-9b5f-0f24f1612528,001-798-531-6414x529,federal,right,True,5G,2025-01-28 22:31:34,"64.56600195233963,61.46128028055094",SIM switch,True,
8f8a810c-7c6f-4ff9-8906-c45bf10e2cd5,(894)821-5349,year,by,False,WiFi,2025-02-14 06:28:59,"78.97460376622064,-7.5999041113476835",reboot,False,
30c17402-7aef-46e1-927d-b5fb836a4901,734-835-7174,would,issue,False,WiFi,2025-02-22 17:07:22,"32.92785064938532,-152.0091188499981",reboot,False,
5d82f367-a27a-493b-91de-d6ff1de09ac1,+1-563-759-6255x6918,when,left,False,WiFi,2025-03-31 15:35:12,"-10.548867430001991,146.21824617491023",SIM switch,True,
6d5ec8a2-aa36-437e-83b2-7419468b7911,001-567-907-0128x376,painting,into,False,LTE,2025-04-07 01:45:18,"20.380825610667074,-140.4403798193806",reboot,,
3ee9f09a-8488-4a7c-b8c8-323929d0b56c,001-339-283-2671x71939,guess,statement,False,WiFi,2025-04-24 02:11:23,"8.747603625930935,67.4002152541164",SIM switch,False,
a1765b9d-9e10-4289-b238-eee3fe61b82e,5143895768,conference,carry,True,LTE,2025-04-02 17:45:52,"62.76521052140549,139.66126512060185",reboot,False,
058897dc-a3ee-4b5f-91a8-9843dace6940,(869)490-3520,understand,statement,True,LTE,2025-01-08 05:14:33,"-15.983805198436315,163.05544469472937",reboot,True,
0061e3a0-a6c6-450c-a601-2eaadd9295c2,+1-972-806-9851x121,sit,by,True,5G,2025-03-11 03:39:22,"-55.68798509339624,-63.2405300417289",reboot,False,
87b61828-6519-4efd-927d-fb00645fed79,001-201-974-1449x879,his,data,True,LTE,2025-03-14 00:16:06,"34.800458547909514,-13.418845902585474",SIM switch,,
07818671-29b9-4a96-bd2f-768053aed40a,+1-617-902-9283x61604,that,happen,False,LTE,2025-01-10 09:13:10,"-53.56610996631338,169.60982007558778",SIM switch,False,
3d015726-b126-4bae-a0a1-1426e86d848e,4914885305,great,past,False,5G,2025-04-21 00:45:10,"36.5673368329941,-100.0454424893324",reboot,True,
540ca8ed-9f65-45ac-bd18-c961e4d9464d,782-452-9155x77104,Mrs,production,False,5G,2025-01-16 00:45:35,"-4.013794074059334,157.63952192098736",SIM switch,True,
dfe9fb0c-6b91-40e9-b522-ca7a83fcdd4b,903-569-3886x3550,what,concern,True,WiFi,2025-03-26 18:13:57,"49.99996098065998,21.463411543939515",reboot,,
4ed28c2e-2881-47dc-a985-153056aef55c,500.399.5120,likely,network,True,LTE,2025-03-15 05:59:59,"-24.810822713856325,85.2567806878929",SIM switch,False,
c2512f59-31bf-46a0-9829-b9bbd5ec8ead,(880)455-0392,word,air,True,WiFi,2025-04-22 03:52:04,"-56.54237058376645,-63.73987496452301",SIM switch,True,
10178b38-6d8e-41bf-b340-d312ccc34dcb,705.431.8114x15002,challenge,choice,False,WiFi,2025-02-12 13:46:16,"59.29568282100868,24.383706464603478",SIM switch,False,
5fb9f5ae-09cf-4be7-830a-40b1fbe92c67,794-421-3551x741,effect,information,True,5G,2025-01-18 18:20:50,"-71.71413833924422,132.93695310398658",reboot,,
