subscriber_location,call_type,called_party,connection_time,cell_identity,geo_coordinates,b_number,calling_party,caller_id,a_number,callee_id,communication_type,originating_number,terminal_id,is_fraud,call_category,bts_id,start_time,tower_location,billable_seconds,terminating_number,call_start,setup_time,call_length,equipment_id,cell_id,duration,tower_id,service_type,call_duration,location,imei,device_id
,,,,CELL_899,,3096657807248,,9092057920882,,,video_in,,,False,,,,"62.4290,28.1906",,,,2023-04-10T01:38:46.000Z,,,,,,,570,,,IMEI_254962
,,,,,,,,,6096781597974,7005254083405,video_out,,,False,,,,"17.5920,145.9105",2566,,,2023-02-02T15:03:41.000Z,,,CELL_580,,,,,,IMEI_785235,
,video_out,2791387699628,,,"-64.2747,77.6293",,,,5718609494209,,,,,False,,,,,1070,,20/07/2023 01:17:10,,,,,,CELL_585,,,,,IMEI_645799
,,,2023-03-06T00:55:18.000Z,,"76.5863,-90.4007",1083637301168,,,6274682120117,,,,,False,,CELL_563,,,,,,,,IMEI_139193,,277,,voice_out,,,,
"-89.8841,25.3037",,,,,,,,,4166660659679,,voice_out,,,False,,,,,,2982150285942,06/20/2023 01:31:34,,,IMEI_807195,CELL_756,,,,2582,,,
"89.6051,164.8800",conference,7664756326466,,,,,,,,,,2019646998082,,False,,CELL_123,1688186982,,,,,,2274,IMEI_665401,,,,,,,,
,,,,,,,1858611071675,,,9053552532592,conference,,IMEI_876045,False,,,,,,,,2023-08-21T04:09:36.000Z,,,,2457,CELL_870,,,"29.0854,134.7069",,
,,,,,,,,5508072785565,,4483718346256,conference,,,False,,CELL_842,,"-20.9600,-166.9494",,,,2023-07-25 15:43:34,,IMEI_826515,,,,,2619,,,
,,,,CELL_745,,,,4181243152660,,5231156075504,,,,False,voice_in,,,,,,2023-08-30 04:14:27,,,,,,,,97,,IMEI_832201,
,,,,,"-23.4822,-75.1828",2876054689595,,,3675613907544,,,,,False,,,1696017896,,,,,,,,CELL_424,739,,,,,IMEI_610280,
"19.3877,160.1232",,4730994871371,,,,,,,,,,6375450806087,IMEI_262369,False,video_out,,,,1683,,,11/08/2023 05:01:32,,,CELL_285,,,,,,,
,,1591042668755,1701074043,CELL_213,"-60.9899,125.7087",,,,,,,3548080400903,,False,conference,,,,,,,,,,,,,,2575,,,
,,,,CELL_138,,7362899466527,,,8610921234466,,,,,False,video_in,,,,377,,,1694309579,,,,,,,,"39.8128,40.9316",IMEI_275992,
"61.2674,-49.9858",,9414090036852,2023-12-16T05:48:04.000Z,,,,6515982411290,,,,video_in,,,False,,CELL_886,,,,,,,364,,,,,,,,,IMEI_976470
,voice_out,,,,,,,,7089243488526,,,,IMEI_695112,False,,,,,,3182820095976,1691293337,,,,,,CELL_115,,28,,,
,,5536602242381,,,,,,2827874215569,,,voice_in,,,False,,,2023-04-03T15:28:23.000Z,,,,,,,,CELL_473,,,,290,"52.1594,-108.5021",IMEI_279974,
,,,,,,,,2701280552524,,3232463574924,,,IMEI_336223,False,,,13/08/2023 22:57:21,,,,,,2039,,,,CELL_149,voice_out,,"-30.0294,42.3704",,
,video_out,,2023-10-13T15:59:46.000Z,,,1172218447318,,,3265562871314,,,,,False,,CELL_816,,"-66.1755,32.7345",,,,,2488,,,,,,,,,IMEI_415820
,,,,CELL_104,"1.7258,-112.3391",3298990067262,,,8105789143350,,,,,False,,,1693692027,,,,,,,,,,,,309,,IMEI_195151,
,,,,,"3.5187,13.9895",6811683854031,,3513959562711,,,,,,False,,,2023-04-06 12:38:47,,,,,,,,,,,video_in,3320,,IMEI_455812,
,,,2023-06-29T05:42:28.000Z,,"-17.1963,161.2190",,3564037821435,,,1457326405894,,,,False,,,,,2954,,,,,,CELL_660,,,voice_in,,,IMEI_749321,
,,,,,,,,,,,,2146303845910,,False,,CELL_908,2023-01-21 15:26:49,"-43.6988,36.4642",,8016103175377,,,,,,,,conference,1429,,,IMEI_926755
,,6965689938566,1683714273,,,,,,8456901746107,,,,IMEI_869598,False,video_out,,,,,,,,,,CELL_957,,,,1338,"-25.9854,-110.4440",,
,,,,,,,,,,,,5058327702142,,False,,,,,,1765096637703,,1684469925,,,,,CELL_110,,899,"41.6173,79.4194",IMEI_140869,
,,,,CELL_747,"-80.7224,-162.7517",,,,6504950068782,5018799769048,,,,False,,,,,,,,1698556911,,,,,,video_in,599,,,IMEI_480008
,,,2023-12-22T18:51:08.000Z,,,,1051902034112,,,2789690037524,voice_in,,,False,,,,"-20.6969,36.8608",,,,,761,,CELL_736,,,,,,,IMEI_801331
,voice_in,,,CELL_320,,2383100859169,8488779963532,,,,,,,False,,,2023-09-08T13:42:23.000Z,,,,,,,,,304,,,,"-81.3269,178.1884",IMEI_103783,
,,1639779552719,2023-01-06 08:10:21,,,,9144237133242,,,,,,,False,conference,,,,,,,,,,,1747,CELL_946,,,"0.0791,129.8861",IMEI_797131,
,video_in,,2023-01-29 16:08:28,CELL_565,,9248816761809,,,5695498241461,,,,,False,,,,"-71.4996,53.6308",,,,,2472,,,,,,,,IMEI_266529,
,,,,CELL_544,,3199185910609,,,,,conference,1854466291372,,False,,,19/03/2023 18:07:07,"-39.9530,-84.5353",,,,,1155,,,,,,,,,IMEI_547609
,voice_out,,,CELL_299,"-80.9602,14.4083",3176537079811,,,3213844898601,,,,,False,,,1703749297,,,,,,,IMEI_800755,,,,,665,,,
"-40.4306,-178.6630",video_in,,,,,,8573116216068,,,,,,IMEI_412198,True,,CELL_549,18/07/2023 12:01:22,,3425,6474123742847,,,,,,,,,,,,
,voice_out,4780697130005,,,,,,5721961840990,,,,,,False,,,,,,,2023-06-09 05:59:47,,,IMEI_845189,,298,CELL_124,,,"-3.9377,98.1108",,
,,,,,"-70.3978,-85.4985",2016867141860,,4282223934397,,,,,,False,,CELL_382,,,,,,1681972249,,,,,,voice_in,3390,,,IMEI_419398
,,,,CELL_156,,3801763886412,,,9798760328146,,,,IMEI_871968,False,,,,,,,1684026019,,,,,1398,,voice_out,,"43.8676,-45.2934",,
,,7026400155869,,,"-79.1747,93.4217",,,,1435851492520,,voice_in,,,False,,,,,,,,2023-06-16T00:30:57.000Z,,,,2483,CELL_836,,,,IMEI_793482,
"-62.3532,-33.1925",,,,,,,,,,,,5586097424987,,False,video_in,,,,,4793623049071,,26/04/2023 11:53:28,,IMEI_739780,,,,,2253,,,
,voice_in,6016387091077,10/23/2023 13:37:19,,,,,,,,,4945333690760,IMEI_531635,False,,,,,1087,,,,,,,,CELL_592,,,"13.6034,-107.4728",,
,voice_in,,,,,,,,,5576891526513,,1964557874904,,False,,,08/20/2023 17:34:17,"8.5543,-130.1273",,,,,,,CELL_676,1451,,,,,IMEI_179877,
,video_out,6370300663977,,CELL_832,"-60.7100,41.8206",,4249227434706,,,,,,,False,,,,,3344,,,07/23/2023 04:45:00,,,,,,,,,,
,,7339637265922,,CELL_903,,,,,,,video_in,1607012944596,,False,,,1675093609,,1039,,,,,,,,,,,"34.8633,-157.1710",IMEI_864316,
,,,,,,4034733992032,,,,,,4013734656437,,False,,CELL_490,,"71.1970,132.1517",139,,,1672653217,,,,,,,,,,IMEI_311248
,,9660156911069,2023-08-20T19:42:45.000Z,CELL_115,"34.0209,-66.8630",,,7984555036255,,,,,,False,,,,,3270,,,,,,,,,voice_in,,,,
"34.9730,139.4334",,6414327875934,28/11/2023 10:36:21,CELL_736,,,8084818680947,,,,,,,False,,,,,,,,,,,,,,video_in,37,,IMEI_623835,
,voice_out,,,,,5952717334027,,,1247975465018,,,,,False,,,29/04/2023 08:31:59,"17.5467,84.4640",292,,,,,,CELL_971,,,,,,IMEI_943748,
,conference,,08/09/2023 11:17:24,CELL_574,,1393242906834,,,,,,6993127228660,IMEI_340031,False,,,,"79.7862,156.6028",,,,,3432,,,,,,,,,
,,,,,"30.6224,125.0461",,,,4762598702410,,,,,False,video_in,CELL_835,,,,1148735361488,05/03/2023 16:25:41,,,,,,,,3117,,IMEI_681052,
,,,1687099449,CELL_825,"6.5146,156.3790",2465068098300,,,,,,5960377182815,IMEI_384148,True,voice_out,,,,,,,,,,,,,,406,,,
,voice_out,5969560579687,,,"26.5179,173.4266",,,,,,,1516841544167,IMEI_672501,False,,CELL_175,,,,,,1692113414,,,,,,,3487,,,
,,7235414102813,,CELL_257,,,,,1900972086683,,,,,False,conference,,,,,,,1687915884,,,,2947,,,,"63.1182,-141.2587",,IMEI_980711
,,,,,,4259105284909,,9818598094553,,,,,,False,conference,CELL_317,2023-01-17T17:02:43.000Z,"-47.8885,-100.7689",1420,,,,,IMEI_404723,,,,,,,,
,,,28/08/2023 13:05:12,CELL_693,,,,,,5076959942036,,5818218685787,,False,voice_in,,,"-83.4142,-103.9585",3433,,,,,,,,,,,,,IMEI_302148
"-88.6635,174.7309",video_out,1606439264758,,CELL_158,,,7696713847116,,,,,,,False,,,2023-07-24 07:25:53,,2996,,,,,IMEI_450430,,,,,,,,
,voice_out,,07/19/2023 07:21:59,,,,,,,,,6328016330794,,False,,CELL_410,,,524,1974658882549,,,,,,,,,,"-83.4935,-178.5441",,IMEI_995141
"78.4216,33.2746",,,06/18/2023 00:55:35,,,9270748829612,,,,,,9244226199344,,False,video_in,,,,,,,,2963,,,,CELL_196,,,,IMEI_622023,
,,6468354576228,,CELL_679,,,,,,,,6191606036673,,False,conference,,,"-35.9025,-179.9270",,,2023-02-20 20:31:08,,2164,,,,,,,,,IMEI_712461
,,,,,,1852031939285,8380068783392,,,,,,,False,video_in,,,"68.1007,103.0386",,,,07/01/2023 17:38:02,,,CELL_336,,,,2792,,IMEI_490958,
"-23.2826,-31.0301",,,05/22/2023 22:53:54,,,8071402603585,,,1658566820572,,,,,False,voice_out,,,,174,,,,,,,,CELL_959,,,,,IMEI_689716
,,,2023-02-01T20:05:55.000Z,,"25.9344,-139.5332",1109247805563,7879858095469,,,,,,,False,voice_out,,,,,,,,,,,,CELL_381,,3344,,IMEI_628718,
,,9904776371760,2023-02-26 22:02:39,,"-21.4632,12.7299",,8415707010866,,,,,,,False,voice_out,,,,,,,,1986,,CELL_688,,,,,,IMEI_777446,
,,,,,,,,,4835729541374,,,,,False,,CELL_760,04/03/2023 11:33:01,"0.7996,-33.5919",,9665761914884,,,,IMEI_911083,,,,conference,2511,,,
"-86.2890,102.9887",,5894861058272,,,,,8602526682039,,,,,,IMEI_445938,False,,,2023-10-16 12:32:27,,,,,,51,,CELL_240,,,voice_in,,,,
,,,,CELL_235,,,,5355890715261,,5388144955482,,,,False,voice_out,,,,811,,,1699692452,,,,,,,,"-22.6483,-22.3958",,IMEI_969922
,,,,,"51.7544,67.8839",3785736311106,8788966740386,,,,voice_in,,,False,,,,,,,,2023-12-26 08:50:25,,,,1158,CELL_874,,,,,
"-56.6279,79.5375",voice_out,,1681421109,,,,,,,,,4162525325665,,False,,,,,3438,8984449290014,,,,,CELL_346,,,,,,,IMEI_702256
"-62.6007,-80.3240",video_out,7843826138511,1685382340,,,,,3274541393181,,,,,IMEI_901064,False,,,,,,,,,2805,,CELL_252,,,,,,,
,,3791720790744,,,,,,,8397439479072,,,,,False,,,1679617128,,,,,,,IMEI_643068,CELL_959,,,conference,2414,"-78.9598,-31.2913",,
"-86.2040,10.9994",,,,,,,,,1502700200404,,conference,,IMEI_201018,False,,,,,,9819652622210,,11/05/2023 10:14:16,,,,,CELL_830,,3484,,,
,video_in,,,,"17.7912,-134.4627",,3176368267026,,,2902464642506,,,,False,,CELL_290,,,,,09/11/2023 23:49:18,,,,,1312,,,,,,IMEI_483285
,,,1694560183,,,8457138416905,,,9737358490485,,,,IMEI_868270,False,voice_in,,,,,,,,2661,,CELL_404,,,,,"-43.2451,42.9415",,
"-19.0984,20.8979",,,,CELL_444,,,,9042100647917,,1129002918385,,,,False,,,15/03/2023 12:53:29,,,,,,,,,,,voice_in,3453,,,IMEI_829784
,,,,,,,,8068912223949,,,,,,False,voice_out,,,,388,4724204815841,,22/04/2023 21:10:13,,IMEI_120372,,,CELL_300,,,,,
"-26.9097,97.3314",voice_in,,,,,,6391299179953,,,,,,,False,,,,,,4179072172571,,05/07/2023 08:13:54,3496,,,,CELL_795,,,,IMEI_510152,
,conference,,,,,,,,9574035135413,3813869588516,,,,False,,,,,819,,1682427424,,,,,,,,,"57.6509,2.7590",IMEI_398806,
,,,,,,5077802802619,,6893366090436,,,,,,False,,,03/28/2023 04:54:34,"8.7795,-61.9062",632,,,,,,,,CELL_431,video_out,,,,
"53.8152,12.9527",,,,,,,4124017553947,,,,,,,False,video_out,,,,,4685748799548,,03/21/2023 10:32:44,,IMEI_855981,CELL_897,,,,1167,,,
,voice_in,,,,,,,,,,,2620029241010,IMEI_799971,False,,CELL_189,07/05/2023 19:41:36,"-6.5538,-13.8981",,8108816362846,,,2620,,,,,,,,,
"-20.7609,-27.2734",,7175937789902,,,,,,,9346980285238,,,,IMEI_373801,False,,CELL_302,,,,,2023-05-11 11:18:47,,,,,,,voice_out,2269,,,
,,,,,,,8812883413856,,,8814940026408,,,,False,conference,CELL_567,25/07/2023 21:39:06,,,,,,,,,,,,2562,"34.8698,110.3207",,IMEI_921483
,video_in,,,,,,7129502396452,,,,,,,False,,,,"-72.7544,177.1560",,9231691904100,1687459172,,,,,2121,CELL_163,,,,,IMEI_865504
,voice_in,,,,"-42.8939,124.1304",,,,3818723240014,8001956160066,,,,True,,,,,,,1700733437,,,,CELL_245,,,,2381,,,IMEI_378607
"65.1420,-107.8007",,,,,,,,,,,conference,4648907848667,,False,,,1681889508,,,7212765934003,,,,,CELL_563,2996,,,,,,IMEI_268718
,,3882966126819,22/03/2023 20:20:59,,"-88.6347,67.7069",,,,5047734635191,,video_out,,,False,,CELL_563,,,414,,,,,,,,,,,,,IMEI_700962
,video_out,,,,,,,,1787121318348,9403228187205,,,,False,,,08/31/2023 21:18:23,"-39.7641,-177.0167",,,,,,,CELL_279,,,,1144,,IMEI_175563,
,,,,CELL_540,,,,,,3388338134282,video_in,5474777955381,,False,,,02/05/2023 00:55:06,"-17.5525,58.8729",,,,,1683,,,,,,,,,IMEI_598426
"26.8078,-135.1781",,,,CELL_802,,,7924829060117,,,3913843897272,,,IMEI_167403,False,,,20/12/2023 18:43:10,,1036,,,,,,,,,voice_out,,,,
,,,,CELL_119,,,,,7084218824746,2469750020973,,,,False,,,,,,,01/10/2023 06:57:01,,,,,1084,,conference,,"-22.5711,159.1405",IMEI_437489,
,,,,,,,3013328017690,,,2780903846035,video_in,,IMEI_943902,False,,,,"79.1713,-80.9524",2968,,2023-12-20T00:41:27.000Z,,,,CELL_793,,,,,,,
,,,,,,,,,,2724466726294,,8958056693815,IMEI_295084,True,voice_in,,,,,,,2023-05-18 21:49:40,,,CELL_910,,,,2582,"31.2621,127.2888",,
,video_out,3132281146688,,,,,,,,,,3650739789431,IMEI_807100,False,,,12/02/2023 11:49:35,,,,,,,,,2784,,,,"84.3131,72.0533",,
,voice_out,6733242875541,,,,,,2242147934087,,,,,,True,,,,"49.8592,-176.3271",,,2023-10-16 01:10:45,,,,,3078,CELL_242,,,,,IMEI_780829
,,8533346415942,,,,,2243363708299,,,,voice_out,,,False,,,,,,,12/08/2023 02:59:39,,2225,,CELL_480,,,,,"68.8906,-127.2328",IMEI_508901,
,voice_in,4683394052410,1699125993,,,,,4190143578224,,,,,,False,,CELL_841,,,701,,,,,,,,,,,"45.9011,15.6887",IMEI_840513,
"-64.7568,-21.3567",conference,,,CELL_394,,,,,4272901255076,,,,IMEI_683660,False,,,,,1568,6416266844080,,2023-09-10 12:26:15,,,,,,,,,,
,,,,,"-55.2516,-179.4463",,,,,,,8398536417947,,False,,,,,,3488167608068,,04/08/2023 16:49:57,466,IMEI_440920,,,CELL_519,voice_out,,,,
"13.0978,108.8097",,5664511330401,1679596691,,,,,1186833061846,,,conference,,,False,,,,,,,,,,,CELL_160,,,,337,,IMEI_561458,
"-7.8818,103.3886",video_out,8351636901466,2023-04-02T11:59:39.000Z,CELL_823,,,,,2278121181674,,,,IMEI_173206,False,,,,,2492,,,,,,,,,,,,,
,,,2023-02-22 10:37:29,,,1145422235869,,1282684318566,,,,,,False,video_in,,,,,,,,,,CELL_585,1233,,,,"3.7553,135.5776",IMEI_849795,
,video_in,,2023-09-20 11:21:32,,"-53.1660,101.9790",,,,4530554867167,8861821716552,,,IMEI_275575,False,,,,,2091,,,,,,,,CELL_194,,,,,
,voice_out,,1673320183,CELL_544,"-88.9860,-155.9883",,7020040933142,,,9847598085217,,,IMEI_966555,False,,,,,3091,,,,,,,,,,,,,
,,,,,"44.0960,148.0807",,,4206152190777,,6082878308687,,,IMEI_167217,False,video_out,,,,,,,2023-10-26 01:18:17,59,,CELL_298,,,,,,,
,,,,CELL_650,"-38.2886,179.8678",2616149887446,,9878428852506,,,video_in,,,True,,,,,,,,1684060370,,IMEI_402069,,604,,,,,,
,,,,,"63.4040,136.4397",6618899609752,,,5061619591901,,voice_out,,,False,,,,,367,,1672527275,,,,,,CELL_738,,,,,IMEI_557441
,,8504874685126,1690500999,,"28.5540,-171.2817",,,,,,,9576476226924,,False,,CELL_175,,,2062,,,,,IMEI_689789,,,,conference,,,,
,,,,,"-30.0710,-7.5560",,,,,,,7937252630165,,False,video_in,,,,,5227530174018,02/17/2023 04:25:06,,3165,IMEI_470083,CELL_115,,,,,,,
,,,1677967532,,,,,6684881398852,,5543427230980,,,IMEI_101550,False,,,,"-68.4791,-25.3940",,,,,1362,,,,CELL_405,,,,,
,,2555012524982,,,,,,,6316551619184,,,,IMEI_798992,False,,,27/12/2023 21:56:27,"-73.3590,-159.4722",,,,,,,,2344,CELL_699,video_in,,,,
,,3909512933408,2023-02-24T12:16:36.000Z,,,,2335054350182,,,,video_out,,IMEI_560595,False,,CELL_861,,,,,,,,,,,,,1299,"3.4098,22.8541",,
,conference,,,,"-38.3170,133.2184",6347700068525,,,9668395574545,,,,,False,,,,,2483,,2023-05-19 10:19:04,,,,CELL_842,,,,,,,IMEI_932325
"-63.8941,-152.1782",,6190859523803,06/11/2023 11:02:42,,,,,,,,,7044876727541,IMEI_962518,False,,,,,3437,,,,,,CELL_459,,,voice_out,,,,
,,4855667544562,,,,,,3942925358974,,,,,,False,,,07/01/2023 14:23:34,"19.4726,-132.1660",,,,,,IMEI_641258,,,CELL_777,voice_in,2563,,,
,,,,CELL_978,"-84.3057,126.2047",,,,9329047723643,8892158154241,,,,False,,,,,1947,,,2023-07-09T14:28:31.000Z,,IMEI_327146,,,,,,,,
,,,,,"-86.8656,-172.4693",,,,,4914344785758,,1641368628073,IMEI_361883,False,video_out,,,,102,,1700947133,,,,CELL_184,,,,,,,
"-35.9064,-134.0845",conference,,,,,7105031212889,,,,,,4607290149568,,False,,,,,,,,2023-06-10 16:09:39,207,,,,CELL_518,,,,IMEI_504946,
,,,,CELL_192,"72.9504,-19.5898",,,2921441255534,,,,,,False,video_in,,1693290619,,,2961666809022,,,1078,,,,,,,,IMEI_748079,
,,,23/06/2023 09:18:35,,,,,,5576169451681,,,,,False,,,,"46.5073,-160.6976",,9748714070104,,,,IMEI_382234,,,CELL_271,video_out,2953,,,
,,,,,"-81.4297,170.3308",8260392886830,,,,,,7216519539455,,False,voice_in,,,,3566,,,2023-12-17 07:39:26,,,CELL_231,,,,,,,IMEI_420773
,conference,,1691993358,CELL_483,,,1522713425770,,,,,,,False,,,,,,8038521567583,,,,IMEI_626441,,1754,,,,"52.5796,-149.0610",,
,,2782844643213,28/06/2023 23:56:14,CELL_301,"65.4616,-60.9882",,,,2963502013891,,voice_in,,IMEI_362510,False,,,,,2899,,,,,,,,,,,,,
,,,,,"-39.3527,-35.9190",4114635908245,,,5043591402494,,,,IMEI_640953,False,,CELL_147,,,,,1699683376,,,,,,,,325,,,
,,9180025943579,,CELL_661,,,,2842517633856,,,,,,False,,,1672594799,"12.2830,50.4481",1937,,,,,,,,,voice_in,,,,
,,5059106237616,2023-08-10T12:50:46.000Z,,"-53.3581,-57.5349",,,,,,video_out,3046731964185,,False,,,,,3150,,,,,,CELL_208,,,,,,IMEI_260454,
,video_out,9136316294691,,CELL_281,"58.9749,-59.2661",,,,,,,2182095960339,,False,,,,,564,,,2023-12-09T22:17:13.000Z,,,,,,,,,IMEI_172821,
