network_type,device_os,platform,bearer_type,geo_coordinates,is_roaming,phone_number,device_type,user_id,msisdn,event_time,action,os_type,os_version,cell_location,transaction_id,event_name,is_fraud,event_type,event_id,terminal_model,tracking_id,home_network,session_id,service_action,connection_type,timestamp,position,access_technology,subscriber_id,roaming_active,device_model,handset,roaming_status,location,log_time,recorded_at
,,,,,False,,,,3325568223190,,SIM switch,,Android 11,,,,False,,da4f68bb-0b5d-4a33-9b85-f35b2267e88e,,,,,,,,"-72.1664,-156.0746",,,,Oppo F21,,,,02/16/2023 22:58:46,
,,,,"52.1567,-54.1561",,4556696680098,,,,20/05/2023 00:23:58,SIM switch,Android 12,,,,,False,,,,8cf7da63-621a-49df-bbdd-4ede8035cc09,True,,,WiFi,,,,,,Vivo V25,,,,,
,,,WiFi,,True,,,,,28/07/2023 05:03:48,,Android 11,,"43.5631,-177.8660",,app_launch,False,,,Vivo V25,,,d92b7b70-a5d4-4c49-a31c-c7361e192b6a,,,,,,6621385567446,,,,,,,
,Android 13,,5G,,,3945085273693,,,,2023-12-12 10:14:15,,,,,,,False,,,,0a0d7f49-545b-4951-9e45-639e126d34f2,,,power_on,,,"-58.7524,53.0330",,,True,,Pixel 6,,,,
,,iOS 16,,"45.9774,141.3286",,,,,8434435264642,,,,,,,,False,,,,,,390d319d-f7ad-4664-beec-b9ca0cc51f27,location_change,3G,,,,,,,Realme GT,False,,,01/07/2023 20:18:35
,,iOS 16,,,,,,2623632453305,,,,,,"-74.6077,103.0767",,app_launch,False,,3062e4f1-6059-495c-84c0-0de6702c2240,,,False,,,,,,5G,,,,Realme GT,,,,2023-10-06T00:46:15.000Z
,,Android 13,,"75.5901,100.0937",,,,,5508569599129,,,,,,5afb83d1-2973-493c-9c0b-b0cbb26848aa,,False,,,,,False,,app_launch,WiFi,2023-10-14T18:45:23.000Z,,,,,,Pixel 6,,,,
,,,,,,,,6878273349738,,,,Android 11,,,,,False,,,,,False,bc91eca0-16b4-4adc-8050-4b7d0b44b998,app_launch,,,"-38.6683,-116.5362",,,,,iPhone 14,,,2023-06-29 03:10:04,
,Android 12,,,,True,6048760547308,,,,,,,,,,power_on,False,,,Realme GT,737225f2-81ce-46de-9c59-e12ea4c46909,,,,WiFi,2023-05-17T15:47:47.000Z,"63.6244,-32.1462",,,,,,,,,
,Android 11,,3G,,,,,,6164703022762,1686626155,,,,,,,False,power_on,,,,,ca306382-e0ab-43a4-bab5-cef1c4c9cd1e,,,,"35.1122,117.0287",,,False,,OnePlus 10,,,,
5G,,,,"-18.8799,36.6193",True,3825051710876,,,,04/09/2023 09:49:38,power_on,,,,,,False,,,,,,a2435121-acab-4e8c-a981-2953067d5af3,,,,,,,,,,,,,
,,,,"-86.1837,-177.2718",False,,,8155674619882,,,power_on,iOS 16,,,,,False,,91021bca-02e6-4ae4-a79e-2af74ce52cb1,,,,,,3G,12/20/2023 20:54:36,,,,,,iPhone 14,,,,
,iOS 15,,,,,,,,,,,,,"-69.1180,-150.5100",,,False,,,Realme GT,,True,21fc1bfc-838e-4d15-a159-763024a64d26,power_on,4G,,,,3313612784009,,,,,,1677554619,
,,,,,,,Vivo V25,5768434183910,,,,,Android 13,,,,False,,,,,True,fa82f025-0d91-4aef-af13-d1a1477ca09c,app_launch,WiFi,,"-6.9296,136.0091",,,,,,,,,1688912160
5G,,,,,,,,6890585391876,,,,Android 12,,,d8c8dc54-a130-4878-80f6-52b488bdf547,,True,,,Pixel 6,,,,SIM switch,,2023-03-26T16:27:23.000Z,,,,,,,False,"-37.0174,115.8033",,
,,,2G,"28.5591,90.6108",,,,5305848270569,,,,Android 13,,,,,False,,,,,False,4cb48b97-17aa-4d65-b88f-d9379d07499c,power_on,,01/02/2023 23:29:05,,,,,,Oppo F21,,,,
,iOS 15,,5G,,,,,,,,,,,"-81.2829,-52.1582",07e12f46-db8d-48a7-9ee0-c4dc810d6c66,,False,power_on,,,,True,,,,,,,2641689574702,,,Samsung Galaxy S22,,,,2023-10-19 22:23:08
,,,,,True,4829881199189,,,,11/01/2023 23:16:02,,,Android 12,,,,False,power_on,8a643982-0069-4317-b9fe-2cc97d6f1e2b,,,,,,,,"-62.3088,-138.7465",,,,,Oppo F21,,,,
,,,4G,"78.0027,76.1429",,,Pixel 7,,,,power_on,Android 11,,,,,False,,93d4fd6c-7a0a-428e-b39d-4dd8d3584231,,,True,,,,2023-09-25T02:21:32.000Z,,,2763071848630,,,,,,,
,,,WiFi,,True,9703620054971,,,,,,,Android 11,"-48.8111,-69.0462",,,False,,,,e464cadc-de5e-4769-a3fc-50c8dfb56a40,,,location_change,,,,,,,,,,,08/09/2023 18:12:57,
2G,,,,"69.3258,155.3752",,4238311963088,,,,1676836176,,Android 12,,,,,False,power_on,2ef386bf-d154-4de6-847b-1ac9cbf004e4,Oppo F21,,,,,,,,,,,,,False,,,
,,,,,,5024515157033,,,,,,,Android 12,"-47.6803,-127.3149",,app_launch,False,,,Pixel 7,,,4c7fbcb5-86c1-4348-870a-a14660cce523,,,2023-07-07 07:31:47,,WiFi,,,,,True,,,
4G,,,,,,,,,1309792011087,,,,Android 13,"85.5601,99.5877",,,False,location_change,,,,True,,,,2023-05-07 17:16:56,,,,,,iPhone 14,,,,
,Android 12,,,,,,,,1270007008709,,app_launch,,,,,,False,,,,c40814b7-6ed3-4a05-9d02-ba38ad217562,True,,,3G,1675650094,"-7.2068,146.3444",,,,Vivo V25,,,,,
,,,WiFi,,False,,,,,,,iOS 16,,,,,False,,d44affe9-78a1-44c0-a298-6bba689f3953,,,,,power_on,,2023-08-01T15:12:13.000Z,"-28.0268,-129.4376",,2037431748073,,Realme GT,,,,,
,,,,"67.4751,23.0334",True,,,6343065780137,,,,,,,,,False,power_on,8997ebbe-f0f2-4d37-b0aa-4723dd17e2d0,OnePlus 10,,,,,,,,,,,,,,,,2023-01-04T19:00:00.000Z
,,,,"-34.3221,47.3908",False,,,,,,SIM switch,,Android 12,,,,False,,,Vivo V25,d61b7462-9d8a-419d-8f6d-d123d2f1d7eb,,,,5G,,,,3017147562835,,,,,,2023-02-28 21:00:44,
,iOS 16,,,"-36.7232,163.6112",,,,3121403812744,,15/05/2023 10:59:47,location_change,,,,,,False,,aa11416a-3bb2-4187-8a9b-62bed85ab79d,,,,,,,,,4G,,,,Realme GT,True,,,
,Android 11,,5G,,True,,,,,,,,,"-32.7572,-55.8958",,,True,,,OnePlus 10,bbf63bd7-d284-4edb-a65e-172db96a5275,,,,,1688734778,,,2237783571747,,,,,,,
,Android 11,,,,,,,6591023905721,,,,,,,1c647381-0f40-409a-9458-2ee58ea505bb,,False,power_on,,Xiaomi Mi 11,,,,,,,"55.5572,146.3746",2G,,True,,,,,2023-02-16T19:46:06.000Z,
,,,,,,8273805131408,,,,1687550373,,,Android 12,"-51.1513,-88.1415",,,False,SIM switch,4650ec37-894b-4640-85ea-435b5a357313,,,True,,,,,,3G,,,Vivo V25,,,,,
,,Android 11,,"48.7773,-130.2647",,,,2609884254649,,,app_launch,,,,,,False,,,Samsung Galaxy S22,,,7f2cff7f-bb7e-4047-9525-c9bd1fb166ab,,,01/07/2023 08:26:10,,5G,,,,,True,,,
,,,WiFi,,,,,1183271706881,,2023-06-02 02:38:15,,Android 12,,,,,False,,,,,,31d701f7-6cc0-4d8f-a959-a6b59c7d40b3,location_change,,,,,,,OnePlus 10,,True,"42.3910,-147.3924",,
,,Android 13,,,,,,,,1680617556,,,,"36.3949,16.4866",,power_on,False,,4e312d4e-e6d5-4058-9fb1-3ce9704ea181,Pixel 7,,,,,,,,,3624567665062,False,,,,,,
WiFi,,iOS 16,,,,5637539849193,,,,,app_launch,,,"-38.8289,52.1619",,,False,,13afe177-0027-419b-bcfc-729e66f0194e,iPhone 14,,,,,,1701659922,,,,False,,,,,,
,,,,,False,2308397792405,,,,,,Android 13,,"-48.4594,156.2435",,,False,app_launch,ea4b5263-d5fb-4644-beb4-ec860afaa02f,,,,,,,,,2G,,,,,,,09/17/2023 23:01:36,
,Android 12,,5G,"-79.4297,68.8057",,,,,2230883406742,,,,,,,,False,,,,555d5f52-05a3-4421-aeb5-58300759a73d,,,app_launch,,,,,,True,,Vivo V25,,,,20/10/2023 00:05:10
3G,,Android 11,,,,,,,,,,,,"-78.3470,174.9382",,,False,,2402dca2-eb0b-40a2-8a6d-a8b8ba129ec1,,,,,app_launch,,,,,7606507320594,,Xiaomi Mi 11,,True,,,28/06/2023 16:25:14
,,,,,,,Oppo F21,,8570316186535,07/04/2023 22:39:28,,,iOS 16,,,location_change,False,,,,fd0a92b9-884e-4540-8329-6c1c3292fd6e,False,,,4G,,,,,,,,,"49.0883,169.0534",,
,Android 13,,,"53.2437,128.4216",False,,,8243492491776,,,SIM switch,,,,,,False,,94581190-6767-4760-a5f9-ed6110a5fec0,iPhone 13,,,,,,,,3G,,,,,,,12/26/2023 09:46:41,
,,Android 12,WiFi,"-28.9391,159.1747",,,,9096100462931,,,,,,,,,False,,dcc54cb2-a254-480b-906c-0492eae1e6d0,OnePlus 10,,,,location_change,,,,,,,,,False,,,1703299307
,,,,,,,,,,2023-03-10T15:24:14.000Z,,,iOS 15,,,SIM switch,True,,,,e84ba98b-dc8b-45d6-9fc1-addfebd5734d,,,,,,,4G,9889607137082,,Xiaomi Mi 11,,False,"-89.4289,51.3564",,
3G,Android 12,,,"86.6136,140.5700",False,,,9775959225061,,,,,,,,,False,SIM switch,,,,,6e2a3e6e-37fa-4774-96d7-790f1f89337e,,,2023-01-06 20:49:32,,,,,,OnePlus 10,,,,
WiFi,,,,"-8.1683,21.7106",False,,Pixel 7,2431557891146,,,SIM switch,,iOS 16,,,,False,,,,b769f50d-71a7-4ad7-8d2d-4b3eeb364c96,,,,,,,,,,,,,,,2023-05-21 08:15:03
,,,3G,,,,,,9632264916861,06/08/2023 14:13:32,location_change,,iOS 16,,,,False,,,OnePlus 10,,2,,,,,"49.7556,-179.7048",,,,,,,,,
,Android 11,,,"74.0324,27.5744",,,Samsung Galaxy S22,6573127115660,,,,,,,,location_change,False,,,,a9de262c-47c9-4c81-b54b-08824ad9f99d,,,,3G,,,,,,,,False,,,2023-10-22 16:28:37
2G,,,,,,,,3557450958923,,,,iOS 16,,"19.7654,69.3831",bd706a0f-9fe2-46a6-84a2-2176f86626f0,app_launch,False,,,Pixel 6,,False,,,,,,,,,,,,,,08/23/2023 20:50:57
,iOS 15,,,"-26.8024,18.8616",,,Realme GT,,1543977271782,,,,,,c437fdf3-36ba-4c73-a1f4-7ae2a5cc01cb,,False,,,,,False,,SIM switch,,,,3G,,,,,,,,08/09/2023 20:14:04
,,,,,,,iPhone 14,3520916944661,,07/14/2023 06:27:53,location_change,,Android 13,,,,False,,ee63e14e-478a-427d-b96e-a9b739852111,,,False,,,,,,2G,,,,,,"57.8309,120.5323",,
,,,5G,,,,,,,2023-10-27T10:06:32.000Z,location_change,,Android 11,,,,False,,,,,True,5726a898-136f-4bd6-90ff-0349bc13b11a,,,,"-25.0698,120.0214",,6202137365684,,,,,,,
,,,,"21.3142,-65.0459",False,,,,,08/08/2023 13:11:15,,,iOS 15,,,,False,,,,,,d3e77573-6e06-4031-8551-c6b61ecccbd6,power_on,,,,,6963967331335,,,Realme GT,,,,
,,Android 13,,,,5589506760937,,,,,power_on,,,,,,False,,,Realme GT,,,9c308979-c491-481e-b0fc-2aae7734db97,,,15/03/2023 12:51:16,"-75.0646,-54.3019",WiFi,,,,,True,,,
5G,,,,,,8522771191311,Samsung Galaxy S22,,,,location_change,,iOS 15,,244047a2-7084-4e2b-ae8b-fcd259b8f710,,False,,,,,,,,,,,,,False,,,,"4.2533,159.6065",,28/06/2023 16:53:28
5G,,,,,,3441263900936,,,,,,,,,,,False,,,iPhone 13,,,,power_on,,,,,,,,,True,"-73.7865,-69.1231",12/07/2023 16:27:06,
,,iOS 16,5G,,,,,,,,,,,,2a4d99cc-d684-4f13-a5b8-f87012794b47,,False,location_change,,,,,,,,,"67.6264,48.1157",,3622334220662,True,,,,,05/14/2023 21:10:45,
,,,,,True,,,,,,,Android 13,,,,,False,location_change,a0f84db9-0a98-465b-9d42-ce2cea182285,Vivo V25,,,,,,2023-08-24 19:06:19,"-89.6636,-57.4552",4G,5720472485675,,,,,,,
5G,,,,,,3215934555221,,,,,,,Android 13,,,SIM switch,False,,,,2be0cc05-c09c-4223-bfbf-66123ff82522,False,,,,,,,,,,Xiaomi Mi 11,,"-31.5356,84.2671",19/04/2023 21:57:36,
,,,,,,,,,,2023-05-02 01:27:29,,,iOS 16,,,,False,location_change,,,,,33de1178-9973-420b-bff9-40adc6541411,,4G,,,,7161228481431,,Oppo F21,,False,"43.6138,111.1171",,
,,Android 12,,,False,,Realme GT,,6578961900625,10/20/2023 19:06:08,,,,,,,False,,,,,,20c2893d-afb9-4b39-8ee0-b7fa594de6df,app_launch,5G,,,,,,,,,,,
,,,4G,"-71.5434,112.0842",True,,Realme GT,,5724278211301,1693710700,,iOS 16,,,,power_on,False,,,,,,43e05166-079f-40a9-a3e9-d0bd35273ee5,,,,,,,,,,,,,
,,Android 13,WiFi,,False,,iPhone 14,,7445927932898,2023-10-22 11:06:17,app_launch,,,,,,False,,,,0ffb5b38-a071-4831-bdcd-32ee4a7e6d77,,,,,,"71.5942,100.1893",,,,,,,,,
,iOS 15,,,,,5187225390513,,,,,,,,,,,False,power_on,,Xiaomi Mi 11,a9fdf8e4-f4bc-4b5a-b63c-a310a345d60a,,,,,,"76.2146,11.7173",3G,,False,,,,,2023-01-22T01:26:45.000Z,
,iOS 15,,5G,,,,,,,,app_launch,,,"-17.1636,-110.9117",,,False,,5cbd90b2-129f-4d60-9a08-6dfe5fcd5fec,,,False,,,,2023-11-02T22:20:15.000Z,,,4343520094794,,,iPhone 14,,,,
,,,,,,,,4280703435497,,,,,iOS 16,,,,False,SIM switch,,,,True,0c3c748b-05f8-4e34-8df3-ca63bdbd3d2b,,5G,21/06/2023 20:15:07,,,,,,OnePlus 10,,"9.4820,-24.4253",,
2G,Android 13,,,,,,iPhone 14,,1207586010055,,,,,,,,False,app_launch,b32e63be-0545-474f-9cc7-3bc5a4fc9e64,,,,,,,2023-12-17 11:38:48,"-71.1038,-146.1070",,,,,,True,,,
,,Android 11,4G,,False,,,2148250416160,,1694022820,location_change,,,"-16.3438,-41.4374",,,False,,456979ca-7b44-40e6-9355-6a73dcfe67ea,Vivo V25,,,,,,,,,,,,,,,,
,,,,,,3644976880449,,,,,,,,"-68.1263,78.9028",,SIM switch,False,,b9c89fa7-1793-4240-a6e1-5d0cfeb5d17c,,,True,,,3G,,,,,,,iPhone 14,,,,2023-06-26 10:21:34
5G,,,,,,,Vivo V25,9749126821730,,,,,Android 13,,,,False,,,,fe696e7b-c10d-4ef8-afc8-4b57890b4f3a,,,,,,,,,False,,,,"-74.5589,124.4886",09/21/2023 12:30:37,
4G,,Android 13,,,,,Oppo F21,4770092509180,,2023-02-09T18:19:29.000Z,,,,"-88.8789,28.7260",,,False,,,,0c914f5f-bb32-4daa-b595-2be32448b653,,,SIM switch,,,,,,True,,,,,,
,,,,,,,,,,,,,Android 12,,,app_launch,False,,ec887124-d1b9-405e-8dbd-6d967e1158ef,iPhone 13,,True,,,4G,,,,4683342286738,,,,,,,2023-09-08 18:24:06
,,,,,,,iPhone 14,,3198538963379,09/11/2023 00:22:47,,iOS 15,,"55.7550,61.1361",,SIM switch,False,,,,,True,33cc7994-b24a-44b6-a2eb-96dcc7297cf1,,,,,5G,,,,,,,,
,,Android 12,2G,,,,,,7090147687472,1692687758,,,,,,,False,SIM switch,,iPhone 13,840b8a11-7ac0-4f51-9c93-a34f59643f80,,,,,,"-0.9037,-152.4764",,,,,,False,,,
,Android 12,,5G,,False,,,,,2023-10-04 03:55:26,,,,"-75.3808,29.8570",,power_on,False,,,,,,9aa8fe46-e100-4d09-9778-e45b4bafab97,,,,,,7964098398398,,iPhone 13,,,,,
,Android 12,,,"-20.8824,163.5076",,,,2743566058968,,,,,,,cfa4c79f-edf1-46a2-8b6b-f1889d1585ff,,False,power_on,,,,False,,,2G,,,,,,,Oppo F21,,,,2023-06-26T21:40:41.000Z
,Android 12,,,"28.5898,11.3165",,,,,3483225713222,,app_launch,,,,,,False,,10a9f1d9-3fad-4701-a253-2882562be30c,,,,,,4G,01/08/2023 17:00:36,,,,True,,Pixel 7,,,,
,,,,,,,,,,,,,iOS 15,,,,True,,,,,,360b5fd0-cca0-4a42-b493-a0f9d8476c6b,power_on,2G,1676640837,,,9322330351626,False,iPhone 13,,,"-6.7440,-143.9526",,
,,iOS 16,,,,,Realme GT,3425146126810,,20/12/2023 02:28:51,,,,,,,False,location_change,cbf1c682-e7dd-40dd-b1db-1ad34ec7df5f,,,,,,,,"89.2751,22.4643",4G,,,,,False,,,
,,,,,,,,8975924207495,,1696019436,,,Android 12,,,,False,,,Xiaomi Mi 11,,False,303ebc36-ec32-4488-b2d1-7dbab1c064f8,,WiFi,,,,,,,,,"18.1305,-168.4847",,
,,,,,,,Pixel 7,,8001934148268,,location_change,Android 13,,,,,False,,,,,False,3481d231-3761-4661-9f40-c6a9cfee2f2b,,WiFi,,,,,,,,,"45.5672,-170.7490",,2023-04-13 08:23:56
4G,,,,,,,Pixel 7,,,,,,Android 12,,,,False,location_change,f164754c-8539-4393-84fc-40e248071c5d,,,,,,,,,,8253509332959,,,,True,"17.5079,-88.1453",2023-10-10T20:21:40.000Z,
,,Android 11,,,,4124455406496,,,,2023-07-03 17:14:33,,,,,,,False,,,Vivo V25,,,,power_on,,,,2G,,False,,,,"64.6768,-60.0367",,
,,iOS 16,,"11.2829,-167.4484",,8408568350609,,,,,,,,,,,False,,,iPhone 13,d7854586-3084-483b-b6d8-a06bc4eadf29,False,,location_change,,2023-05-19T09:31:30.000Z,,5G,,,,,,,,
,,Android 11,,"12.4864,-93.1846",,4553425623358,Pixel 6,,,,SIM switch,,,,,,False,,e6b40531-d22e-4a40-ab99-57e34e07a443,,,,,,,,,WiFi,,False,,,,,12/16/2023 05:23:25,
4G,,iOS 15,,"-75.8394,-66.0986",False,,,,,,,,,,,,False,app_launch,a972b58f-38a7-48a7-9d4b-d660e64aef66,OnePlus 10,,,,,,,,,2320817161301,,,,,,29/11/2023 11:31:39,
,,,,"39.9088,-84.3835",,,,3103339054376,,,,Android 13,,,,,False,location_change,8fc1bb1b-3403-4cce-9017-6518eb4876e6,,,,,,,,,,,False,Vivo V25,,,,,1702517077
2G,,,,"62.9943,-159.8381",,,,,8036616611612,,,Android 11,,,4ec1dff0-585d-4ce0-bc72-ad7413883c6f,,False,,,,,False,,app_launch,,,,,,,,Vivo V25,,,,2023-08-20 18:39:54
4G,,,,,,,iPhone 13,,,,,Android 11,,,c97bc8e0-6992-4495-a4fc-e34b62bd79a2,,False,,,,,,,,,,,,3860500073704,,,,True,"16.0109,-117.5219",2023-01-22 23:12:52,
,Android 11,,,,,,Oppo F21,,,,app_launch,,,,478dc750-7209-4b6a-b52e-465c0503eae4,,True,,,,,,,,4G,02/18/2023 22:47:50,,,2547518252990,True,,,,"55.9127,-23.4978",,
,,Android 11,2G,,,,,8781062281594,,1677206588,,,,,,,False,app_launch,,,,,,,,,,,,False,,Oppo F21,,,,
,iOS 16,,5G,,True,,Realme GT,,,,,,,"25.6638,-9.2497",,power_on,False,,,,bb8cc1da-1754-4255-b46c-b889a838e8c4,,,,,,,,1528135982830,,,,,,,12/19/2023 19:43:39
,,Android 13,,,,4701760093736,,,,,,,,,,SIM switch,False,,2c2afc1b-efe7-455b-9276-ec9e08fec206,iPhone 14,,,,,,,"-8.9056,99.8893",,,,,,True,,,1701483444
,,,,,,,,4488761318839,,,,,iOS 15,,,,False,location_change,,Xiaomi Mi 11,,False,ff356d12-0aad-4394-9a82-7e09bbfc31b6,,,,,5G,,,,,,"-25.8026,135.8370",1698412714,
WiFi,iOS 16,,,,,7128946596397,OnePlus 10,,,,,,,"-7.0601,127.1747",,,False,,,,96802617-431e-4aa5-9676-e0fc82a016db,False,,,,,,,,,,,,,,2023-08-18 16:07:06
,,,,"6.1997,-79.3506",False,,,,,,,,iOS 16,,,app_launch,False,,,,1fd2b4a7-f6c3-4647-964e-81df0d6f4f6e,,,,3G,,,,6741356472638,,,Realme GT,,,21/11/2023 03:26:43,
,iOS 16,,,,False,,Oppo F21,5550869069362,,2023-08-25 18:03:24,,,,"16.6799,110.8122",,,False,,4e3ff34d-4710-4614-b36a-7455e8adb0f9,,,,,SIM switch,WiFi,,,,,,,,,,,
5G,,iOS 16,,,False,,OnePlus 10,,,2023-04-11T10:13:57.000Z,power_on,,,"42.2865,80.0806",,,False,,,,7c5253f0-0e8b-4fd3-9c87-0e60532d9e8b,,,,,,,,3948765479137,,,,,,,
5G,,iOS 15,,,,8046332875916,,,,2023-03-24T13:28:19.000Z,,,,,,,False,app_launch,,Xiaomi Mi 11,,-1,,,,,,,,,,,,,,
,Android 13,,,,,3716182578758,,,,,,,,"-52.5250,-84.0855",,,True,power_on,,,8e60c8e3-1639-4499-9d12-2e3a9008681f,,,,,,,4G,,False,Pixel 7,,,,,18/07/2023 11:00:43
,,iOS 15,,"-1.7759,78.8079",,4147584361273,,,,,,,,,,,False,app_launch,,,d0ad5f45-574b-405b-a16a-7e2bfa8ac61b,,,,WiFi,,,,,True,,OnePlus 10,,,08/24/2023 04:15:41,
,Android 13,,WiFi,,,,,2791407962769,,,,,,"-1.2661,-14.9032",,,False,,,,,,da481fe8-a988-4ae8-b6fc-27c26205f783,,,,,,,,Pixel 6,,-6,,2023-02-10T13:41:40.000Z,
,,Android 13,,,,,,,,2023-07-30T13:21:27.000Z,power_on,,,"-89.5069,-42.1089",,,False,,4f3b7dad-09ea-407c-9c4d-c135fdd26385,,,,,,,,,5G,2613651392723,False,,OnePlus 10,,,,
,,Android 11,,,,,,,6274964987877,,,,,,,app_launch,False,,,Pixel 6,,,085f255b-6f33-43b1-bdc4-cd532ca2d270,,,,,,,True,,,,"-17.3876,-19.5291",1696972473,
,,,,,,,Pixel 6,6872924468050,,,app_launch,,iOS 15,,f6796a3d-cfe7-4d8c-871f-0692e43591f0,,False,,,,,,,,3G,,"-34.1331,-28.4146",,,,,,True,,05/18/2023 09:25:27,
,,,3G,,,3979455519983,,,,,,iOS 15,,,,,False,,,iPhone 13,f46768ae-13aa-429c-a9da-97455f84297d,,,,,2023-04-27 01:25:13,"-7.9114,23.1335",,,True,,,,,,
,,,,"-0.0710,87.5910",,,,,,2023-09-14T06:06:12.000Z,,,Android 11,,,,False,,71dea5a9-87ab-41b5-b6e0-26c898508341,,,True,,power_on,3G,,,,2044345006472,,,Pixel 6,,,,
,,,,,,,,4846365677362,,,,,,,ec245932-8184-4d8b-b93d-ff2621b16e25,location_change,False,,,,,,,,,,,3G,,True,,Realme GT,,"-3.1655,-100.7911",,1673025144
4G,,Android 11,,,,,,,,,,,,,,,False,,d52e0eb6-bb30-401e-8cda-85aca0222711,,,,,power_on,,,"-6.5836,99.2035",,9980876514588,,,,True,,,11/11/2023 01:35:39
,,,4G,,True,3610882192194,,,,,,Android 11,,,,,False,,,,,,7d3d7f8e-92ad-4f94-b9ee-ce3270292d6e,,,2023-03-10T10:08:53.000Z,"-25.5486,-127.9413",,,,,,,,,
,Android 12,,,"71.5976,-103.3044",,,Vivo V25,3751545360931,,,location_change,,,,,,False,,,,,False,,,,1701710956,,3G,,,,,,,,
WiFi,,,,,,,,,,1696705481,,Android 12,,"-4.1890,57.4731",,,False,app_launch,,Realme GT,48121a92-a848-4754-b4de-2fe65ec2b9a1,,,,,,,,4503774244724,False,,,,,,
,,,3G,,False,,,,4422755091228,05/11/2023 14:13:50,,,iOS 15,,452413cd-31d8-4d9d-a217-72941897ebdf,,False,,,,,,,location_change,,,"-44.7557,1.6906",,,,Samsung Galaxy S22,,,,,
,,,,"-53.0594,18.6572",,2607049736235,,,,,,,Android 11,,56bac9a2-a76c-49e5-9205-a541b11d7afd,,False,,,,,,,,,2023-09-13 04:47:32,,3G,,True,iPhone 14,,,,,
,,Android 12,4G,,False,,,3825329644089,,,,,,,badba11d-077a-4bc7-8308-d6f895cb5fd9,,False,,,,,,,power_on,,,"-68.7685,-64.3994",,,,,iPhone 13,,,2023-01-20 08:54:20,
,,,,,False,,,,3728455270042,2023-12-18T20:38:53.000Z,,iOS 15,,"-84.0317,-107.0199",,,False,power_on,84f6f1a6-c97a-4758-b5c1-8e72773a158f,Vivo V25,,,,,5G,,,,,,,,,,,
,iOS 15,,5G,,True,,,7700190705230,,,,,,"-67.4792,-6.8927",,app_launch,False,,,,2ca1c493-3ea5-4ad9-bcde-f5323f0ffcfc,,,,,,,,,,Oppo F21,,,,1684346226,
,,,,,,,Oppo F21,9202961531034,,,,Android 13,,,,SIM switch,False,,fe677dc4-b070-4cb1-b366-ad862036b2b3,,,,,,,,,3G,,True,,,,"-38.0537,-21.3051",,2023-11-23 15:33:46
,,iOS 15,,,,5749040405291,,,,,,,,,,,False,,424679cf-08d5-41dd-9acf-bf1142c4b74a,,,,,power_on,,09/21/2023 02:50:53,,2G,,True,,Xiaomi Mi 11,,"1.7573,107.5370",,
