communication_type,call_type,call_length,geo_coordinates,setup_time,call_duration,tower_location,bts_id,call_category,start_time,callee_id,tower_id,called_party,imei,a_number,terminating_number,equipment_id,cell_id,originating_number,b_number,subscriber_location,terminal_id,location,duration,cell_identity,caller_id,device_id,is_fraud,calling_party,connection_time,call_start,service_type,billable_seconds
,,,"-73.2524,-128.4292",,3314,,,voice_in,,,,,,,7952413208249,IMEI_179551,,5484529523978,,,,,,CELL_544,,,False,,,02/11/2023 19:18:25,,
video_out,,,,,,,,,,,CELL_817,,,,,,,,9370059146746,,IMEI_676121,"63.4643,48.7219",,,3326314781584,,False,,,07/06/2023 09:37:16,,1769
,voice_out,,"58.1227,163.6932",,,,,,,6445741414523,,,,,,IMEI_637645,CELL_804,,,,,,2905,,,,False,9778249875667,,01/12/2023 04:26:40,,
video_in,,,,2023-04-10T01:38:46.000Z,570,"62.4290,28.1906",,,,,,,,,,,,,3096657807248,,,,,CELL_899,9092057920882,IMEI_254962,False,,,,,
video_out,,,,2023-02-02T15:03:41.000Z,,"17.5920,145.9105",,,,7005254083405,,,IMEI_785235,6096781597974,,,CELL_580,,,,,,,,,,False,,,,,2566
,video_out,,"-64.2747,77.6293",,,,,,,,CELL_585,2791387699628,,5718609494209,,,,,,,,,,,,IMEI_645799,False,,,20/07/2023 01:17:10,,1070
,,,"76.5863,-90.4007",,,,CELL_563,,,,,,,6274682120117,,IMEI_139193,,,1083637301168,,,,277,,,,False,,2023-03-06T00:55:18.000Z,,voice_out,
voice_out,,,,,2582,,,,,,,,,4166660659679,2982150285942,IMEI_807195,CELL_756,,,"-89.8841,25.3037",,,,,,,False,,,06/20/2023 01:31:34,,
,conference,2274,,,,,CELL_123,,1688186982,,,7664756326466,,,,IMEI_665401,,2019646998082,,"89.6051,164.8800",,,,,,,False,,,,,
conference,,,,2023-08-21T04:09:36.000Z,,,,,,9053552532592,CELL_870,,,,,,,,,,IMEI_876045,"29.0854,134.7069",2457,,,,False,1858611071675,,,,
conference,,,,2023-07-25 15:43:34,2619,"-20.9600,-166.9494",CELL_842,,,4483718346256,,,,,,IMEI_826515,,,,,,,,,5508072785565,,False,,,,,
,,,,,97,,,voice_in,,5231156075504,,,IMEI_832201,,,,,,,,,,,CELL_745,4181243152660,,False,,,2023-08-30 04:14:27,,
,,,"-23.4822,-75.1828",,,,,,1696017896,,,,IMEI_610280,3675613907544,,,CELL_424,,2876054689595,,,,739,,,,False,,,,,
,,,,11/08/2023 05:01:32,,,,video_out,,,,4730994871371,,,,,CELL_285,6375450806087,,"19.3877,160.1232",IMEI_262369,,,,,,False,,,,,1683
,,,"-60.9899,125.7087",,2575,,,conference,,,,1591042668755,,,,,,3548080400903,,,,,,CELL_213,,,False,,1701074043,,,
,,,,1694309579,,,,video_in,,,,,IMEI_275992,8610921234466,,,,,7362899466527,,,"39.8128,40.9316",,CELL_138,,,False,,,,,377
video_in,,364,,,,,CELL_886,,,,,9414090036852,,,,,,,,"61.2674,-49.9858",,,,,,IMEI_976470,False,6515982411290,2023-12-16T05:48:04.000Z,,,
,voice_out,,,,28,,,,,,CELL_115,,,7089243488526,3182820095976,,,,,,IMEI_695112,,,,,,False,,,1691293337,,
voice_in,,,,,290,,,,2023-04-03T15:28:23.000Z,,,5536602242381,IMEI_279974,,,,CELL_473,,,,,"52.1594,-108.5021",,,2827874215569,,False,,,,,
,,2039,,,,,,,13/08/2023 22:57:21,3232463574924,CELL_149,,,,,,,,,,IMEI_336223,"-30.0294,42.3704",,,2701280552524,,False,,,,voice_out,
,video_out,2488,,,,"-66.1755,32.7345",CELL_816,,,,,,,3265562871314,,,,,1172218447318,,,,,,,IMEI_415820,False,,2023-10-13T15:59:46.000Z,,,
,,,"1.7258,-112.3391",,309,,,,1693692027,,,,IMEI_195151,8105789143350,,,,,3298990067262,,,,,CELL_104,,,False,,,,,
,,,"3.5187,13.9895",,3320,,,,2023-04-06 12:38:47,,,,IMEI_455812,,,,,,6811683854031,,,,,,3513959562711,,False,,,,video_in,
,,,"-17.1963,161.2190",,,,,,,1457326405894,,,IMEI_749321,,,,CELL_660,,,,,,,,,,False,3564037821435,2023-06-29T05:42:28.000Z,,voice_in,2954
,,,,,1429,"-43.6988,36.4642",CELL_908,,2023-01-21 15:26:49,,,,,,8016103175377,,,2146303845910,,,,,,,,IMEI_926755,False,,,,conference,
,,,,,1338,,,video_out,,,,6965689938566,,8456901746107,,,CELL_957,,,,IMEI_869598,"-25.9854,-110.4440",,,,,False,,1683714273,,,
,,,,1684469925,899,,,,,,CELL_110,,IMEI_140869,,1765096637703,,,5058327702142,,,,"41.6173,79.4194",,,,,False,,,,,
,,,"-80.7224,-162.7517",1698556911,599,,,,,5018799769048,,,,6504950068782,,,,,,,,,,CELL_747,,IMEI_480008,False,,,,video_in,
voice_in,,761,,,,"-20.6969,36.8608",,,,2789690037524,,,,,,,CELL_736,,,,,,,,,IMEI_801331,False,1051902034112,2023-12-22T18:51:08.000Z,,,
,voice_in,,,,,,,,2023-09-08T13:42:23.000Z,,,,IMEI_103783,,,,,,2383100859169,,,"-81.3269,178.1884",304,CELL_320,,,False,8488779963532,,,,
,,,,,,,,conference,,,CELL_946,1639779552719,IMEI_797131,,,,,,,,,"0.0791,129.8861",1747,,,,False,9144237133242,2023-01-06 08:10:21,,,
,video_in,2472,,,,"-71.4996,53.6308",,,,,,,IMEI_266529,5695498241461,,,,,9248816761809,,,,,CELL_565,,,False,,2023-01-29 16:08:28,,,
conference,,1155,,,,"-39.9530,-84.5353",,,19/03/2023 18:07:07,,,,,,,,,1854466291372,3199185910609,,,,,CELL_544,,IMEI_547609,False,,,,,
,voice_out,,"-80.9602,14.4083",,665,,,,1703749297,,,,,3213844898601,,IMEI_800755,,,3176537079811,,,,,CELL_299,,,False,,,,,
,video_in,,,,,,CELL_549,,18/07/2023 12:01:22,,,,,,6474123742847,,,,,"-40.4306,-178.6630",IMEI_412198,,,,,,True,8573116216068,,,,3425
,voice_out,,,,,,,,,,CELL_124,4780697130005,,,,IMEI_845189,,,,,,"-3.9377,98.1108",298,,5721961840990,,False,,,2023-06-09 05:59:47,,
,,,"-70.3978,-85.4985",1681972249,3390,,CELL_382,,,,,,,,,,,,2016867141860,,,,,,4282223934397,IMEI_419398,False,,,,voice_in,
,,,,,,,,,,,,,,9798760328146,,,,,3801763886412,,IMEI_871968,"43.8676,-45.2934",1398,CELL_156,,,False,,,1684026019,voice_out,
voice_in,,,"-79.1747,93.4217",2023-06-16T00:30:57.000Z,,,,,,,CELL_836,7026400155869,IMEI_793482,1435851492520,,,,,,,,,2483,,,,False,,,,,
,,,,26/04/2023 11:53:28,2253,,,video_in,,,,,,,4793623049071,IMEI_739780,,5586097424987,,"-62.3532,-33.1925",,,,,,,False,,,,,
,voice_in,,,,,,,,,,CELL_592,6016387091077,,,,,,4945333690760,,,IMEI_531635,"13.6034,-107.4728",,,,,False,,10/23/2023 13:37:19,,,1087
,voice_in,,,,,"8.5543,-130.1273",,,08/20/2023 17:34:17,5576891526513,,,IMEI_179877,,,,CELL_676,1964557874904,,,,,1451,,,,False,,,,,
,video_out,,"-60.7100,41.8206",07/23/2023 04:45:00,,,,,,,,6370300663977,,,,,,,,,,,,CELL_832,,,False,4249227434706,,,,3344
video_in,,,,,,,,,1675093609,,,7339637265922,IMEI_864316,,,,,1607012944596,,,,"34.8633,-157.1710",,CELL_903,,,False,,,,,1039
,,,,1672653217,,"71.1970,132.1517",CELL_490,,,,,,,,,,,4013734656437,4034733992032,,,,,,,IMEI_311248,False,,,,,139
,,,"34.0209,-66.8630",,,,,,,,,9660156911069,,,,,,,,,,,,CELL_115,7984555036255,,False,,2023-08-20T19:42:45.000Z,,voice_in,3270
,,,,,37,,,,,,,6414327875934,IMEI_623835,,,,,,,"34.9730,139.4334",,,,CELL_736,,,False,8084818680947,28/11/2023 10:36:21,,video_in,
,voice_out,,,,,"17.5467,84.4640",,,29/04/2023 08:31:59,,,,IMEI_943748,1247975465018,,,CELL_971,,5952717334027,,,,,,,,False,,,,,292
,conference,3432,,,,"79.7862,156.6028",,,,,,,,,,,,6993127228660,1393242906834,,IMEI_340031,,,CELL_574,,,False,,08/09/2023 11:17:24,,,
,,,"30.6224,125.0461",,3117,,CELL_835,video_in,,,,,IMEI_681052,4762598702410,1148735361488,,,,,,,,,,,,False,,,05/03/2023 16:25:41,,
,,,"6.5146,156.3790",,406,,,voice_out,,,,,,,,,,5960377182815,2465068098300,,IMEI_384148,,,CELL_825,,,True,,1687099449,,,
,voice_out,,"26.5179,173.4266",1692113414,3487,,CELL_175,,,,,5969560579687,,,,,,1516841544167,,,IMEI_672501,,,,,,False,,,,,
,,,,1687915884,,,,conference,,,,7235414102813,,1900972086683,,,,,,,,"63.1182,-141.2587",2947,CELL_257,,IMEI_980711,False,,,,,
,,,,,,"-47.8885,-100.7689",CELL_317,conference,2023-01-17T17:02:43.000Z,,,,,,,IMEI_404723,,,4259105284909,,,,,,9818598094553,,False,,,,,1420
,,,,,,"-83.4142,-103.9585",,voice_in,,5076959942036,,,,,,,,5818218685787,,,,,,CELL_693,,IMEI_302148,False,,28/08/2023 13:05:12,,,3433
,video_out,,,,,,,,2023-07-24 07:25:53,,,1606439264758,,,,IMEI_450430,,,,"-88.6635,174.7309",,,,CELL_158,,,False,7696713847116,,,,2996
,voice_out,,,,,,CELL_410,,,,,,,,1974658882549,,,6328016330794,,,,"-83.4935,-178.5441",,,,IMEI_995141,False,,07/19/2023 07:21:59,,,524
,,2963,,,,,,video_in,,,CELL_196,,IMEI_622023,,,,,9244226199344,9270748829612,"78.4216,33.2746",,,,,,,False,,06/18/2023 00:55:35,,,
,,2164,,,,"-35.9025,-179.9270",,conference,,,,6468354576228,,,,,,6191606036673,,,,,,CELL_679,,IMEI_712461,False,,,2023-02-20 20:31:08,,
,,,,07/01/2023 17:38:02,2792,"68.1007,103.0386",,video_in,,,,,IMEI_490958,,,,CELL_336,,1852031939285,,,,,,,,False,8380068783392,,,,
,,,,,,,,voice_out,,,CELL_959,,,1658566820572,,,,,8071402603585,"-23.2826,-31.0301",,,,,,IMEI_689716,False,,05/22/2023 22:53:54,,,174
,,,"25.9344,-139.5332",,3344,,,voice_out,,,CELL_381,,IMEI_628718,,,,,,1109247805563,,,,,,,,False,7879858095469,2023-02-01T20:05:55.000Z,,,
,,1986,"-21.4632,12.7299",,,,,voice_out,,,,9904776371760,IMEI_777446,,,,CELL_688,,,,,,,,,,False,8415707010866,2023-02-26 22:02:39,,,
,,,,,2511,"0.7996,-33.5919",CELL_760,,04/03/2023 11:33:01,,,,,4835729541374,9665761914884,IMEI_911083,,,,,,,,,,,False,,,,conference,
,,51,,,,,,,2023-10-16 12:32:27,,,5894861058272,,,,,CELL_240,,,"-86.2890,102.9887",IMEI_445938,,,,,,False,8602526682039,,,voice_in,
,,,,1699692452,,,,voice_out,,5388144955482,,,,,,,,,,,,"-22.6483,-22.3958",,CELL_235,5355890715261,IMEI_969922,False,,,,,811
voice_in,,,"51.7544,67.8839",2023-12-26 08:50:25,,,,,,,CELL_874,,,,,,,,3785736311106,,,,1158,,,,False,8788966740386,,,,
,voice_out,,,,,,,,,,,,,,8984449290014,,CELL_346,4162525325665,,"-56.6279,79.5375",,,,,,IMEI_702256,False,,1681421109,,,3438
,video_out,2805,,,,,,,,,,7843826138511,,,,,CELL_252,,,"-62.6007,-80.3240",IMEI_901064,,,,3274541393181,,False,,1685382340,,,
,,,,,2414,,,,1679617128,,,3791720790744,,8397439479072,,IMEI_643068,CELL_959,,,,,"-78.9598,-31.2913",,,,,False,,,,conference,
conference,,,,11/05/2023 10:14:16,3484,,,,,,CELL_830,,,1502700200404,9819652622210,,,,,"-86.2040,10.9994",IMEI_201018,,,,,,False,,,,,
,video_in,,"17.7912,-134.4627",,,,CELL_290,,,2902464642506,,,,,,,,,,,,,1312,,,IMEI_483285,False,3176368267026,,09/11/2023 23:49:18,,
,,2661,,,,,,voice_in,,,,,,9737358490485,,,CELL_404,,8457138416905,,IMEI_868270,"-43.2451,42.9415",,,,,False,,1694560183,,,
,,,,,3453,,,,15/03/2023 12:53:29,1129002918385,,,,,,,,,,"-19.0984,20.8979",,,,CELL_444,9042100647917,IMEI_829784,False,,,,voice_in,
,,,,22/04/2023 21:10:13,,,,voice_out,,,CELL_300,,,,4724204815841,IMEI_120372,,,,,,,,,8068912223949,,False,,,,,388
,voice_in,3496,,05/07/2023 08:13:54,,,,,,,CELL_795,,IMEI_510152,,4179072172571,,,,,"-26.9097,97.3314",,,,,,,False,6391299179953,,,,
,conference,,,,,,,,,3813869588516,,,IMEI_398806,9574035135413,,,,,,,,"57.6509,2.7590",,,,,False,,,1682427424,,819
,,,,,,"8.7795,-61.9062",,,03/28/2023 04:54:34,,CELL_431,,,,,,,,5077802802619,,,,,,6893366090436,,False,,,,video_out,632
,,,,03/21/2023 10:32:44,1167,,,video_out,,,,,,,4685748799548,IMEI_855981,CELL_897,,,"53.8152,12.9527",,,,,,,False,4124017553947,,,,
,voice_in,2620,,,,"-6.5538,-13.8981",CELL_189,,07/05/2023 19:41:36,,,,,,8108816362846,,,2620029241010,,,IMEI_799971,,,,,,False,,,,,
,,,,,2269,,CELL_302,,,,,7175937789902,,9346980285238,,,,,,"-20.7609,-27.2734",IMEI_373801,,,,,,False,,,2023-05-11 11:18:47,voice_out,
,,,,,2562,,CELL_567,conference,25/07/2023 21:39:06,8814940026408,,,,,,,,,,,,"34.8698,110.3207",,,,IMEI_921483,False,8812883413856,,,,
,video_in,,,,,"-72.7544,177.1560",,,,,CELL_163,,,,9231691904100,,,,,,,,2121,,,IMEI_865504,False,7129502396452,,1687459172,,
,voice_in,,"-42.8939,124.1304",,2381,,,,,8001956160066,,,,3818723240014,,,CELL_245,,,,,,,,,IMEI_378607,True,,,1700733437,,
conference,,,,,,,,,1681889508,,,,,,7212765934003,,CELL_563,4648907848667,,"65.1420,-107.8007",,,2996,,,IMEI_268718,False,,,,,
video_out,,,"-88.6347,67.7069",,,,CELL_563,,,,,3882966126819,,5047734635191,,,,,,,,,,,,IMEI_700962,False,,22/03/2023 20:20:59,,,414
,video_out,,,,1144,"-39.7641,-177.0167",,,08/31/2023 21:18:23,9403228187205,,,IMEI_175563,1787121318348,,,CELL_279,,,,,,,,,,False,,,,,
video_in,,1683,,,,"-17.5525,58.8729",,,02/05/2023 00:55:06,3388338134282,,,,,,,,5474777955381,,,,,,CELL_540,,IMEI_598426,False,,,,,
,,,,,,,,,20/12/2023 18:43:10,3913843897272,,,,,,,,,,"26.8078,-135.1781",IMEI_167403,,,CELL_802,,,False,7924829060117,,,voice_out,1036
,,,,,,,,,,2469750020973,,,IMEI_437489,7084218824746,,,,,,,,"-22.5711,159.1405",1084,CELL_119,,,False,,,01/10/2023 06:57:01,conference,
video_in,,,,,,"79.1713,-80.9524",,,,2780903846035,,,,,,,CELL_793,,,,IMEI_943902,,,,,,False,3013328017690,,2023-12-20T00:41:27.000Z,,2968
,,,,2023-05-18 21:49:40,2582,,,voice_in,,2724466726294,,,,,,,CELL_910,8958056693815,,,IMEI_295084,"31.2621,127.2888",,,,,True,,,,,
,video_out,,,,,,,,12/02/2023 11:49:35,,,3132281146688,,,,,,3650739789431,,,IMEI_807100,"84.3131,72.0533",2784,,,,False,,,,,
,voice_out,,,,,"49.8592,-176.3271",,,,,CELL_242,6733242875541,,,,,,,,,,,3078,,2242147934087,IMEI_780829,True,,,2023-10-16 01:10:45,,
voice_out,,2225,,,,,,,,,,8533346415942,IMEI_508901,,,,CELL_480,,,,,"68.8906,-127.2328",,,,,False,2243363708299,,12/08/2023 02:59:39,,
,voice_in,,,,,,CELL_841,,,,,4683394052410,IMEI_840513,,,,,,,,,"45.9011,15.6887",,,4190143578224,,False,,1699125993,,,701
,conference,,,2023-09-10 12:26:15,,,,,,,,,,4272901255076,6416266844080,,,,,"-64.7568,-21.3567",IMEI_683660,,,CELL_394,,,False,,,,,1568
,,466,"-55.2516,-179.4463",04/08/2023 16:49:57,,,,,,,CELL_519,,,,3488167608068,IMEI_440920,,8398536417947,,,,,,,,,False,,,,voice_out,
conference,,,,,337,,,,,,,5664511330401,IMEI_561458,,,,CELL_160,,,"13.0978,108.8097",,,,,1186833061846,,False,,1679596691,,,
,video_out,,,,,,,,,,,8351636901466,,2278121181674,,,,,,"-7.8818,103.3886",IMEI_173206,,,CELL_823,,,False,,2023-04-02T11:59:39.000Z,,,2492
,,,,,,,,video_in,,,,,IMEI_849795,,,,CELL_585,,1145422235869,,,"3.7553,135.5776",1233,,1282684318566,,False,,2023-02-22 10:37:29,,,
,video_in,,"-53.1660,101.9790",,,,,,,8861821716552,CELL_194,,,4530554867167,,,,,,,IMEI_275575,,,,,,False,,2023-09-20 11:21:32,,,2091
,voice_out,,"-88.9860,-155.9883",,,,,,,9847598085217,,,,,,,,,,,IMEI_966555,,,CELL_544,,,False,7020040933142,1673320183,,,3091
,,59,"44.0960,148.0807",2023-10-26 01:18:17,,,,video_out,,6082878308687,,,,,,,CELL_298,,,,IMEI_167217,,,,4206152190777,,False,,,,,
video_in,,,"-38.2886,179.8678",1684060370,,,,,,,,,,,,IMEI_402069,,,2616149887446,,,,604,CELL_650,9878428852506,,True,,,,,
voice_out,,,"63.4040,136.4397",,,,,,,,CELL_738,,,5061619591901,,,,,6618899609752,,,,,,,IMEI_557441,False,,,1672527275,,367
,,,"28.5540,-171.2817",,,,CELL_175,,,,,8504874685126,,,,IMEI_689789,,9576476226924,,,,,,,,,False,,1690500999,,conference,2062
,,3165,"-30.0710,-7.5560",,,,,video_in,,,,,,,5227530174018,IMEI_470083,CELL_115,7937252630165,,,,,,,,,False,,,02/17/2023 04:25:06,,
,,1362,,,,"-68.4791,-25.3940",,,,5543427230980,CELL_405,,,,,,,,,,IMEI_101550,,,,6684881398852,,False,,1677967532,,,
,,,,,,"-73.3590,-159.4722",,,27/12/2023 21:56:27,,CELL_699,2555012524982,,6316551619184,,,,,,,IMEI_798992,,2344,,,,False,,,,video_in,
video_out,,,,,1299,,CELL_861,,,,,3909512933408,,,,,,,,,IMEI_560595,"3.4098,22.8541",,,,,False,2335054350182,2023-02-24T12:16:36.000Z,,,
,conference,,"-38.3170,133.2184",,,,,,,,,,,9668395574545,,,CELL_842,,6347700068525,,,,,,,IMEI_932325,False,,,2023-05-19 10:19:04,,2483
,,,,,,,,,,,,6190859523803,,,,,CELL_459,7044876727541,,"-63.8941,-152.1782",IMEI_962518,,,,,,False,,06/11/2023 11:02:42,,voice_out,3437
,,,,,2563,"19.4726,-132.1660",,,07/01/2023 14:23:34,,CELL_777,4855667544562,,,,IMEI_641258,,,,,,,,,3942925358974,,False,,,,voice_in,
,,,"-84.3057,126.2047",2023-07-09T14:28:31.000Z,,,,,,8892158154241,,,,9329047723643,,IMEI_327146,,,,,,,,CELL_978,,,False,,,,,1947
,,,"-86.8656,-172.4693",,,,,video_out,,4914344785758,,,,,,,CELL_184,1641368628073,,,IMEI_361883,,,,,,False,,,1700947133,,102
,conference,207,,2023-06-10 16:09:39,,,,,,,CELL_518,,IMEI_504946,,,,,4607290149568,7105031212889,"-35.9064,-134.0845",,,,,,,False,,,,,
,,1078,"72.9504,-19.5898",,,,,video_in,1693290619,,,,IMEI_748079,,2961666809022,,,,,,,,,CELL_192,2921441255534,,False,,,,,
,,,,,2953,"46.5073,-160.6976",,,,,CELL_271,,,5576169451681,9748714070104,IMEI_382234,,,,,,,,,,,False,,23/06/2023 09:18:35,,video_out,
,,,"-81.4297,170.3308",2023-12-17 07:39:26,,,,voice_in,,,,,,,,,CELL_231,7216519539455,8260392886830,,,,,,,IMEI_420773,False,,,,,3566
,conference,,,,,,,,,,,,,,8038521567583,IMEI_626441,,,,,,"52.5796,-149.0610",1754,CELL_483,,,False,1522713425770,1691993358,,,
voice_in,,,"65.4616,-60.9882",,,,,,,,,2782844643213,,2963502013891,,,,,,,IMEI_362510,,,CELL_301,,,False,,28/06/2023 23:56:14,,,2899
,,,"-39.3527,-35.9190",,325,,CELL_147,,,,,,,5043591402494,,,,,4114635908245,,IMEI_640953,,,,,,False,,,1699683376,,
,,,,,,"12.2830,50.4481",,,1672594799,,,9180025943579,,,,,,,,,,,,CELL_661,2842517633856,,False,,,,voice_in,1937
video_out,,,"-53.3581,-57.5349",,,,,,,,,5059106237616,IMEI_260454,,,,CELL_208,3046731964185,,,,,,,,,False,,2023-08-10T12:50:46.000Z,,,3150
,video_out,,"58.9749,-59.2661",2023-12-09T22:17:13.000Z,,,,,,,,9136316294691,IMEI_172821,,,,,2182095960339,,,,,,CELL_281,,,False,,,,,564
