destination_domain,connection_time,session_duration,bytes_sent,user_id,event_timestamp,msisdn,protocol,server_port,host,port,is_fraud,encrypted_tunnel,url,service_protocol,destination_ip,vpn_usage,is_vpn,customer_id,access_time,remote_ip,upstream_data,domain,server_ip,tx_bytes,rx_bytes,time_spent,timestamp,remote_port,downstream_data,subscriber_id,duration,dest_port,bytes_received,vpn_detected,ip_dst,upload_bytes,download_bytes,transport_protocol,conn_protocol
,2117,,,,1687375961,7668659091022,HTTP,,instagram.com,,False,True,,,,,,,,55.181.132.174,,,,1412,,,,,,,,39070,,,,,53281,,
,,3026,,,,8483309456386,,,,,False,True,,,,,,,,65.118.61.98,9669,flipkart.com,,,,,10/09/2023 12:02:37,,68775,,,48686,,,,,,UDP,
,09/03/2023 16:02:13,,,,,,TCP,4856,,,False,False,,,65.244.58.33,,,,,,4988,netflix.com,,,,,,,,9256148371025,3323,,,,,,32540,,
,,,9673,,2023-05-03T06:19:42.000Z,3762012668852,,,,,False,,youtube.com,,,,,,,,,,,,,,,18882,,,957,,,True,,,25938,,HTTPS
flipkart.com,,,,5792937298664,,,,15003,,,False,False,,,,,,,,,,,,4425,,,1694700576,,99135,,85,,,,,,,DNS,
,2223,,898,,,6070189432535,,,,,False,,fileshare.cc,,,,False,,,81.129.165.59,,,,,,,2023-12-06T14:34:48.000Z,26489,,,,,,,,,47429,,TCP
,,,,,,,HTTP,,zoom.us,,False,,,,,,True,1242884004126,2023-10-10 14:51:16,,,,234.58.236.60,,,,,10091,,,1120,,,,,7915,31956,,
,2889,,,7070869019666,,,HTTP,50827,,,True,,amazon.in,,,,,,,83.96.122.196,6256,,,,87001,,,,,,,,,True,,,,,
,,,,6953962936432,2023-11-16 14:28:18,,,,,2353,False,True,,UDP,,,,,,,,instagram.com,220.194.162.249,,,1178,,,,,,,12913,,,1490,,,
,2023-03-29 06:22:26,,,4168794742374,,,,41806,,,False,False,,,,,,,,159.123.254.73,,snapchat.com,,,,3296,,,,,,,,,,4722,20716,,HTTP
,,,,,2023-12-25 10:44:56,,,,amazon.in,,True,,,,145.25.254.146,,False,6203674193917,,,,,,,82252,,,15082,,,779,,,,,2250,,HTTP,
,,3296,,,,,,,instagram.com,,False,,,HTTPS,,,True,,,120.38.72.115,,,,,,,05/12/2023 17:32:36,47463,1834,3894079842969,,,,,,1489,,,
,3041,,,,,3050453017563,DNS,,,,False,False,,,30.49.120.69,,,,,,,facebook.com,,,,,,24315,,,,,64149,,,6807,,,
,,,,,,3151642064864,,13449,snapchat.com,,False,,,,,,,,21/08/2023 03:20:15,,,,,3827,,,,,19350,,885,,,True,13.170.124.64,,,,DNS
,178,,,,,,UDP,,,,False,,,,,True,,5665082865198,1674774414,,,twitter.com,,,,,,,84333,,,7147,,,17.243.229.185,8553,,,
,,881,3753,6719660143946,2023-07-15T21:45:01.000Z,,,,,42659,False,,facebook.com,,,,True,,,,,,,,,,,,,,,,,,155.220.50.58,,59451,,DNS
,,,,,,,TCP,,,61678,False,,twitter.com,,,,False,3288409124029,2023-10-12T02:11:01.000Z,,,,,1707,,,,,,,2460,,27894,,172.62.210.181,,,,
netflix.com,29/06/2023 00:13:20,,,6978257482247,,,,,,34766,False,,,,,,True,,,,,,103.35.72.15,,,,,,74405,,645,,,,,5324,,,HTTPS
,2023-02-26T10:18:45.000Z,,,8560624947078,,,,,,,False,,flipkart.com,,,True,,,,,4196,,79.23.112.202,,,3144,,,,,,,,,,,15739,HTTP,
,,,6570,,,,HTTPS,,,,False,False,facebook.com,,,,,8114928575066,,,,,,,,997,1703958504,60279,51883,,,,,,6.166.87.235,,,,
,,,,4114174929455,,,,,snapchat.com,,False,,,HTTP,,,,,1700310564,115.165.161.77,,,,,,,,,60531,,2423,30732,,True,,8322,,,
,,,,,16/09/2023 23:31:29,2484831679063,,,,,False,False,,,,,,,,,,fileshare.cc,113.224.81.186,,,215,,,,,,18540,12397,,,5492,,,HTTP
instagram.com,,3229,8853,,,,,65535,,,False,False,,,,,,8450352878027,,244.109.174.248,,,,,,,2023-09-18 13:10:25,,69023,,,,,,,,,TCP,
zoom.us,,,,,,,HTTPS,,,,False,True,,,208.240.99.188,,,,2023-08-18T08:31:11.000Z,,8651,,,,,3188,,37384,,6014849321798,,,,,,,21251,,
,3438,,,,,,,,,24571,False,False,,HTTP,,,,4908035861079,,129.191.120.197,,amazon.in,,5503,,,2023-08-19 12:43:40,,,,,,,,,,18045,,
,,2356,,,,6296715332991,,32757,,,False,,,TCP,,,True,,,,,amazon.in,,2362,,,04/03/2023 01:44:18,,,,,,215,,160.234.32.56,,,,
,,,,,,,HTTPS,,,,False,,,,,True,,7064783988039,,,2219,snapchat.com,86.68.22.180,,,1961,2023-05-04 23:55:27,53315,59998,,,,,,,,,,
,1678002837,339,,,,,DNS,32606,,,False,,amazon.in,,,False,,5807494009897,,,1303,,230.197.173.95,,,,,,23662,,,,,,,,,,
,,,6011,,1675878160,,,,,,False,True,instagram.com,,192.81.15.73,,,2009093565578,,,,,,,,967,,44440,74359,,,,,,,,,,TCP
twitter.com,556,,,,,4275924779019,,,,,False,,,,,True,,,,199.133.228.109,,,,,,,1694611261,18716,,,,,93512,,,7416,,,HTTPS
,3151,,,,,,,,instagram.com,,False,,,HTTPS,,,,3442943320299,,95.239.66.44,,,,,,,2023-05-02 17:59:12,,,,,26094,41563,False,,9429,,,
,2379,,,,,,,,,6123,False,,facebook.com,UDP,,,True,,2023-09-23 10:20:30,,,,,,,,,,,7086937045938,,,,,245.140.64.155,9924,73884,,
,,,,,19/12/2023 02:10:52,,,47079,,,False,,,,,,True,,,,,flipkart.com,119.104.174.73,,41837,536,,,,2281848211445,,,,,,8447,,,HTTP
,3453,,,9214188196299,,,,,,,False,,fileshare.cc,HTTPS,,,,,,,7720,,101.234.123.110,,,,,,,,,3189,,False,,,1081,,
,816,,,,,8922085454844,,,,22223,False,False,,HTTP,,,,,,,6586,snapchat.com,250.49.201.191,,,,,,,,,,5948,,,,,,
,2955,,,,,,,,amazon.in,,False,False,,,204.13.242.135,,,,,,,,,7881,,,,51309,82457,1295561390695,,,,,,,,,DNS
,,2769,,2098340828707,,,,30125,,,False,False,,,,,,,2023-12-28T05:01:38.000Z,,,zoom.us,170.244.192.160,4341,,,,,,,,,,,,,25210,HTTP,
,563,,,,,,,,,,False,True,instagram.com,,,,,6107345225109,2023-01-22 10:28:20,168.131.245.109,9624,,,,,,,35297,,,,,6663,,,,,,DNS
,,,,,2023-05-27 23:30:59,,,,,11521,False,,,TCP,60.19.89.213,,,6649115702296,,,,youtube.com,,3062,37951,1627,,,,,,,,True,,,,,
,,356,1572,,28/11/2023 09:22:00,,,,,,False,,fileshare.cc,,203.151.98.89,,,9073383682374,,,,,,,,,,41860,18440,,,,,3,,,,,HTTPS
,12/18/2023 18:17:46,,9008,,,,,8754,,,False,,,HTTPS,,,True,8130331689910,,241.151.188.113,,youtube.com,,,99277,,,,,,2482,,,,,,,,
,1676552695,3341,,,,9601029126786,,,,44091,False,True,,TCP,,,,,,,,fileshare.cc,,,,,,,55544,,,,,,132.212.233.29,9485,,,
,,,,,,7643913975574,,,netflix.com,,False,True,,TCP,,,,,,,8930,,90.60.91.201,,49722,1223,2023-07-12T02:55:18.000Z,,,,,47701,,,,,,,
,,,5263,5303766293800,,,,,,,False,True,zoom.us,HTTP,,,,,,,,,,,,,1674464925,,,,3165,60057,18787,,194.28.71.148,,,,
,,,,,03/10/2023 17:14:25,4235727258091,,,,,False,,,,,,True,,,182.73.237.29,,zoom.us,,5421,,995,,63425,,,,,,,,,58964,,DNS
,,,,,1680907576,,,,,,False,,,HTTPS,,,False,4723802503423,,,,zoom.us,,,,1472,,,65189,,,50825,,,181.104.203.122,5902,,,
,1687056749,,,,,,,,,,False,,snapchat.com,HTTPS,,,True,4449513340709,,,2303,,,,64014,,,,,,3257,42055,,,128.172.131.250,,,,
,,3331,7064,2062459806909,,,,,,,False,True,flipkart.com,,,,,,,,,,,,,,2023-11-13T23:13:08.000Z,,,,,47330,,,,,23506,,
,2023-12-01 23:39:42,,,,,,,5419,,,False,,youtube.com,,,,False,2420980769179,,,,,,,,1357,,,,,,,,,97.243.28.4,1572,5587,HTTPS,
,,,9768,5228670001302,,,,,instagram.com,,False,,,TCP,,,,,2023-10-18T14:10:07.000Z,,,,,,,3150,,,42788,,,28646,,False,190.71.40.177,,,,
,1766,,,,14/07/2023 23:04:46,,UDP,,,,False,,amazon.in,,28.46.2.157,False,,3711275294886,,,,,,,,,,49896,,,,,13548,,,9098,,,
,,2031,,,,5729355306423,UDP,,netflix.com,,False,,,,,,,,,,,,112.141.215.153,,17768,,1685852180,5042,,,,,,False,,3213,,,
,1686632800,737,,,,8009234476251,,61084,,,False,,snapchat.com,,84.192.143.201,,,,,,,,,9022,,,,,95327,,,,,True,,,,,DNS
twitter.com,,1017,,,2023-10-26T14:35:34.000Z,9429293941098,,,,,False,,,,,False,,,,223.214.18.184,,,,5826,80314,,,,,,,53235,,,,,,,TCP
,,,,3652144305808,,,,,,,False,False,,UDP,,,,,,236.43.59.72,7188,youtube.com,,,59313,1427,1687721019,,,,,22484,,,,,,,
amazon.in,3313,,,,,,,,,,False,,,HTTP,189.101.230.219,,,8128777079077,,,,,,9469,70381,,19/11/2023 06:42:56,,,,,46186,,False,,,,,
,,,,,10/06/2023 04:17:28,,,37671,,,False,,facebook.com,,,True,,3356528769025,,,,,,,,2202,,,64188,,,,,,96.72.198.214,2848,,,UDP
,,,,,,,,,,,False,False,fileshare.cc,,57.149.16.140,,,9596135888029,,,,,,9016,75076,3165,2023-03-27T03:00:35.000Z,,,,,18919,,,,,,HTTPS,
,,,,,2023-05-02T07:38:29.000Z,,TCP,53316,,,False,,,,157.219.84.71,False,,,,,8837,instagram.com,,,,2181,,,92291,3065853317837,,,,,,,,,
,,2000,,,2023-09-08T05:10:34.000Z,,,,,,False,,,HTTP,,,,,,97.231.38.47,,facebook.com,,,,,,,96049,7909211817271,,49140,,False,,50,,,
,1237,,,,,1807661767842,,,,,False,,fileshare.cc,,,,,,1676913474,,4499,,,,,,,62786,47252,,,,,False,,,,,UDP
youtube.com,01/05/2023 00:17:36,,,,,8828350916894,TCP,,,5855,False,,,,,True,,,,,,,109.67.244.36,,98727,,,,,,1506,,,,,2256,,,
amazon.in,10/29/2023 13:58:55,2829,4952,,,3167895246650,,,,,False,,,,36.126.141.43,,,,,,,,,,,,,39388,,,,,79561,False,,,,DNS,
,,,,,1696639645,7427078669935,HTTPS,,,,False,,,,,,,,,,6816,,,,,,,3963,52737,,2575,,,True,,,,,
,2023-03-01T16:30:24.000Z,2143,4257,,,,,,,,False,,snapchat.com,,,False,,,,,,,,,,,,,,8644718065548,,,,,171.89.61.6,,16647,HTTPS,
,,,,,07/08/2023 05:43:38,,TCP,,youtube.com,,False,,,,,False,,3935897420555,,,,,,2942,,1569,,,4645,,,,,,,,,,
,,2424,3211,,,,,,youtube.com,19918,False,,,UDP,,True,,9185679347574,,,,,,,71648,,05/25/2023 11:18:43,,,,,,,,3.188.102.149,,,,
,3359,,9707,,,,,,,5565,False,,,,,,,,,60.211.190.234,,,,,,,,,,9656162196737,,,,True,,,57024,DNS,
,1679827925,,,,,2856093355116,,17368,instagram.com,,False,,,TCP,,True,,,,,,,138.183.106.231,,,,,,,,2811,,,,,9894,42974,,
netflix.com,07/01/2023 02:14:43,2646,2120,,,,,,,,False,,,,,False,,3135199152670,,,,,,,43466,,,,,,,,,,103.190.43.132,,,TCP,
,1718,,,,2023-03-18T01:15:41.000Z,8843812248642,,,,,False,,,HTTP,,,False,,,,,snapchat.com,166.151.255.210,,,,,31394,,,,,,,,8624,71268,,
,899,,,,,,TCP,,,,False,,zoom.us,,,,False,9302135410465,,26.126.123.136,,,,,,,,,,,,51855,22778,,,6373,,,
instagram.com,,,2330,,,,,55332,,,False,,,,,True,,1348832128238,2023-09-27 17:24:10,,,,52.66.174.90,,,2403,,,,,,,68992,,,,,,
,07/12/2023 21:26:34,,,4927132662601,,,,,amazon.in,,False,,,DNS,,,,,,177.150.65.90,,,,540,,3158,,,41719,,,62180,,True,,,,,
,2023-04-18 09:05:07,1552,6159,,,,,27503,,,False,True,,,28.0.24.197,,,,,,,instagram.com,,,,,,,62857,5664383427295,,,,,,,,,HTTPS
,415,,,,,,HTTPS,,snapchat.com,10814,False,,,,,,,2321698811893,,229.247.15.220,,,,,72638,,10/08/2023 03:23:23,,,,,,,False,,3122,,,
,,,,4511051275585,19/02/2023 00:56:13,,,,,26049,False,,netflix.com,,251.41.242.59,,True,,,,,,,6088,,,,,,,2229,,48428,,,,,,HTTP
amazon.in,,,,,,,,,,29429,False,True,,,,,,5148430115185,,,,,,,,3312,2023-09-01 10:52:51,,,,,,89548,,183.17.75.61,709,,,UDP
,,,,3607687857565,2023-10-18T21:24:21.000Z,,,17311,,,False,False,youtube.com,,,,,,,145.51.146.176,,,,4522,,,,,,,1938,,81044,,,,,HTTPS,
,3375,,,,,,UDP,39648,,,False,,netflix.com,,,,True,,,191.226.164.137,7947,,,,,,23/12/2023 03:34:33,,49019,9649389165293,,,,,,,,,
instagram.com,,1944,5740,,,,UDP,,,,False,,,,130.203.63.15,True,,,,,,,,,33913,,12/27/2023 07:14:57,,,7343314642332,,32034,,,,,,,
facebook.com,,,6516,,,,,55810,,,False,,,,242.156.140.216,,,,04/11/2023 00:18:29,,,,,,973,,,,,4047912252530,1238,,,False,,,,HTTP,
,145,,,,,,,17002,,,False,,snapchat.com,,,,True,3637918920151,,,9382,,,,,,2023-09-22 08:44:56,,44989,,,,,,82.71.13.254,,,,HTTPS
instagram.com,02/12/2023 03:15:04,,,,,,TCP,38376,,,False,,,,224.157.215.169,,,6905148779319,,,,,,,,3549,,,9344,,,,,True,,9517,,,
,3128,,,,02/11/2023 17:45:08,,,,,,False,,,UDP,15.2.231.140,,,4172759637071,,,,netflix.com,,2130,83042,,,,,,,50695,,False,,,,,
,2023-02-22T13:57:52.000Z,,,,,,HTTP,,,,False,,,,,,True,,,17.23.152.148,,snapchat.com,,,,,,,,3269083158341,2814,34098,,,,5625,64258,,
snapchat.com,,1944,3376,5499580917036,,,TCP,,,,False,,,,170.55.10.24,True,,,2023-10-01 22:41:15,,,,,,,,,,82629,,,27314,,,,,,,
,,,,,,4551822503885,TCP,,,836,False,,,,,,True,,,128.106.246.169,,,,,,2741,07/03/2023 14:55:07,,,,,,,,,1485,9846,,
,24/01/2023 00:21:07,,,,,,,,,22461,False,,netflix.com,HTTPS,,,True,2671240069386,,,6329,,,,,,,,62694,,1870,,,,229.224.137.47,,,,
,,,,,,,,,,,False,,youtube.com,TCP,,,,,,,5674,,81.6.114.173,,,2977,2023-07-30 16:02:41,45105,,2986371362143,,,84080,True,,,,,
,1689,,,,,8092617241786,,64270,,,False,,,TCP,,,,,1682889732,,8998,flipkart.com,115.45.255.228,,,,,,,,,,79204,False,,,,,
,01/02/2023 12:25:42,,,,,,,,,,False,,,,96.54.23.84,True,,4902660302777,,,1988,facebook.com,,,51507,2503,,53861,,,,,,,,,,,HTTPS
,,,7429,9946092052948,,,,,,,False,False,netflix.com,,,,,,,,,,169.164.196.214,,18121,,01/04/2023 21:03:52,,,,1405,60026,,,,,,UDP,
twitter.com,,3073,,,,,,9525,,,False,,,TCP,,,False,,1698333394,,4705,,,,,,,,,9450615646342,,,19202,,,,,,
snapchat.com,,,,,,1947264162231,,,,,False,True,,,,,,,,,,,221.226.115.188,2916,9770,,07/01/2023 09:09:03,,,,793,35823,,,,,,,UDP
,2023-06-15 21:43:54,,,,,3701705972727,,,snapchat.com,,False,,,,78.251.183.37,,,,,,6824,,,,52886,,,,,,3221,20832,,True,,,,,UDP
youtube.com,2669,,,,,,TCP,,,33341,False,,,,,,,1704198099742,,,,,139.144.12.191,8429,,,,,,,,,,True,,,12587,,
twitter.com,,,,,,2288866088216,,,,41302,False,,,,,True,,,,,,,211.116.132.208,106,,,01/28/2023 06:28:49,,81058,,2758,,,,,,,,
,2023-03-11T14:14:08.000Z,,8980,,,,,,,,False,,,,,,,4867761793021,,37.152.191.5,,facebook.com,,,39946,2444,,36378,,,,,,False,,,,,
flipkart.com,,1345,5018,,,,HTTP,,,,False,,,,,False,,,2023-02-20T07:11:15.000Z,92.65.120.51,,,,,19984,,,,,5406925766532,,4575,,,,,,,
twitter.com,77,,,8836008266535,,,,,,,False,True,,,166.41.143.71,,,,,,,,,,,,,12874,75887,,,,,,,521,,,TCP
,2023-12-06T08:41:50.000Z,,672,,,,,37082,,,True,,netflix.com,UDP,36.228.81.91,,False,,,,,,,,63926,1981,,,,1186840385746,,,,,,,,,
,1414,,7908,,1689185878,,HTTP,,,14608,False,,instagram.com,,,,True,4060465533958,,,,,230.39.128.192,,,,,,874,,,,,,,,,,
,,1058,,,,,UDP,2569,,,False,,,,12.65.82.68,True,,,18/04/2023 21:30:36,,,,,8474,,,,,78568,9428782327995,,,,,,,,,
,,3386,,5653643471956,,,,,,,False,,snapchat.com,DNS,,,,,1679900314,,,,59.193.197.67,1587,,,,13262,,,,,,True,,,80586,,
,,,,,11/05/2023 17:22:19,3355469541250,,,youtube.com,,False,,,DNS,,True,,,,,,,,3375,,2139,,48736,41415,,,,,,,,,,
,,,,,06/07/2023 21:01:53,,,,amazon.in,,False,,,UDP,,,True,5464548754623,,219.60.117.228,,,,9030,,3220,,62210,,,,,,,,,89737,,
,,138,,,2023-07-25T22:21:13.000Z,,,,,13220,False,,facebook.com,,,True,,,,,8374,,,,,,,,,7763390205003,,,30375,,153.29.89.253,,,,DNS
,10/14/2023 21:13:26,437,8253,6005997382306,,,,,,,False,,instagram.com,,,False,,,,71.115.99.232,,,,,,,,,,,,,15346,,,,,UDP,
,,,5802,,15/07/2023 23:04:15,2186518301173,,6096,,,False,,zoom.us,,106.180.4.134,True,,,,,,,,,75207,732,,,,,,,,,,,,HTTP,
fileshare.cc,,910,2111,,,,,,,,False,,,,96.161.252.140,True,,9665798420749,2023-11-11T00:14:28.000Z,,,,,,,,,,,,,64514,55476,,,,,,DNS
,,1641,,,,5569251818956,HTTP,,,13798,False,,zoom.us,,,,True,,,246.175.187.94,,,,2957,,,04/06/2023 19:58:21,,,,,,75493,,,,,,
twitter.com,,1371,,,,6556487496789,TCP,,,,False,,,,13.203.50.83,,,,09/07/2023 10:55:26,,,,,5913,33789,,,53335,,,,,,False,,,,,
,2023-11-20T22:17:36.000Z,,,,,,,,amazon.in,,False,False,,,,,,,,19.40.82.175,,,,7299,,,,20767,47610,8418857591953,1620,,,,,,,HTTP,
,,,585,,,,,,youtube.com,,False,,,UDP,,False,,,2023-07-23 19:04:39,,,,,,,3435,,,,1459792679172,,48339,42634,,40.43.199.158,,,,
netflix.com,1955,,,,,6417851535837,,,,,False,,,,,True,,,07/07/2023 15:00:28,,,,1.69.176.146,7062,,,,546,,,,,,,,,78260,,HTTPS
amazon.in,2016,,327,,,6009099518920,,,,,False,,,HTTP,,,,,11/29/2023 19:22:02,,,,18.93.69.148,,70129,,,29842,,,,,,True,,,,,
,,3447,,9157738033419,,,,,,4679,False,,,,244.74.28.136,,True,,12/23/2023 01:09:19,,6261,youtube.com,,,15995,,,,,,,,,,,,,UDP,
,,,,3149721009243,,,,,,,False,,zoom.us,,,,,,05/10/2023 17:31:15,,156,,,,,1622,,,76172,,,,,False,14.111.57.120,,,HTTP,
,,,,,,,TCP,8830,,,False,,instagram.com,,,False,,,2023-04-30T11:31:55.000Z,,8902,,,,,,,,,9581885082227,1793,,,,113.98.10.193,,24884,,
,,,8582,1330209680160,,,,10102,,,True,,zoom.us,,,,,,2023-11-14T13:15:20.000Z,17.198.97.254,,,,,5747,1320,,,,,,,,True,,,,,HTTP
,167,,4989,,,1227937668050,,,,,False,,,,,,,,1681755750,,,youtube.com,,,,,,52052,28308,,,,,True,164.31.184.212,,,DNS,
twitter.com,1325,,,,,,HTTPS,,,,False,,,,114.180.161.166,False,,,22/06/2023 23:56:24,,,,,9236,49170,,,27024,,9879422075766,,,,,,,,,
,,,,6539888135807,,,,,twitter.com,,False,,,,,,,,,,4930,,,,,,2023-01-12T10:02:50.000Z,,,,1024,10231,,True,238.79.48.19,,52412,,HTTP
,,,837,,2023-03-03T08:15:16.000Z,,,,,20927,False,,,,,,True,,,162.195.27.156,,fileshare.cc,,,,,,,51505,8329079530169,2859,,,,,,,UDP,
,,,,,,,HTTP,,flipkart.com,,True,False,,,,,,,24/12/2023 04:44:48,,6786,,,,,2360,,17450,,8642902133445,,,45663,,125.202.100.126,,,,
,27/02/2023 01:59:08,857,,,,,,,,,False,,snapchat.com,,223.147.7.175,,,,,,,,,,,,,7293,68595,2511196115020,,,,False,,3481,,,
,,2446,,,,2168266899549,,,,46511,False,True,,,223.197.118.194,,,,,,3064,,,,,,07/18/2023 09:52:41,,,,,,60039,,,,,,HTTP
,1566,,,,05/22/2023 02:15:27,,,,,58798,False,,amazon.in,,209.15.143.115,,,9821770861407,,,3736,,,,,,,,75100,,,,,False,,,,,UDP
fileshare.cc,,,,,,,,61196,,,False,,,HTTP,226.211.210.155,,True,,05/04/2023 11:33:48,,,,,,,770,,,,3081854144734,,,,,,3036,80223,,
,,1800,,,,,,,,,True,False,amazon.in,,4.138.211.113,,,3878218700986,,,,,,8037,59981,,2023-04-09 08:14:18,64766,,,,,,,,,,,UDP
,,,,,2023-09-22 22:57:40,,,,,,False,,,,,True,,7814213438791,,,,zoom.us,,,65632,,,19296,,,583,,,,102.155.146.236,7410,,TCP,
snapchat.com,593,,,,2023-09-26T13:59:03.000Z,,,,,37061,False,,,,,False,,,,,,,97.194.22.87,,,,,,,2500502416316,,,40579,,,850,,,UDP
,,,9481,,,,,,youtube.com,,False,,,,,,,,,,,,,,39127,3498,1692609959,9717,,9369428697358,,,,True,,,,,
youtube.com,2023-02-04T15:33:30.000Z,,,,,,UDP,34384,,,False,,,,,,False,,,,8676,,35.62.140.168,,,,,,63404,7669644104447,448,,,,,,,,
,,2827,,,,,,,,,False,,zoom.us,TCP,,True,,1421414490808,2023-08-27 22:46:20,,1121,,107.211.23.170,,,,,52825,,,,,,,,,66422,,
twitter.com,,,520,6896543114157,,,,21740,,,False,True,,,,,,,2023-08-25 15:04:17,186.161.9.106,,,,,,612,,,,,,,,,,,49193,HTTP,
,26/09/2023 11:00:25,,,,,,DNS,,,,False,True,,,,,,4802345837356,,10.103.47.227,,youtube.com,,,,1394,,52365,42914,,,,,,,8589,,,
,1117,,4493,,,,HTTPS,,,18131,False,,fileshare.cc,,,,True,,,,,,80.107.164.102,,,,09/24/2023 23:59:34,,,2812674367740,,,81660,,,,,,
,2748,,,,,,UDP,,amazon.in,,False,,,,110.200.91.228,True,,1507364804529,2023-08-30 01:50:13,,1296,,,,99066,,,,,,,20477,,,,,,,
,,522,,4227204396860,12/25/2023 12:01:36,,,,flipkart.com,,False,,,HTTP,,,True,,,,,,17.243.57.179,,,,,55429,14032,,,,,,,6656,,,
youtube.com,,,,,,7020630724443,,,,,False,False,,,183.249.58.237,,,,06/10/2023 08:35:53,,1791,,,,,,,6400,,,1663,,,,,,78182,UDP,
snapchat.com,,,,4617202844965,,,,,,,False,True,,DNS,,,,,12/15/2023 11:31:37,,1032,,,,71953,523,,,,,,,,,174.155.222.176,,,,
,65,,,9354456181471,,,,,,,False,False,,,93.213.78.147,,,,,,,amazon.in,,7984,17806,,,43914,,,,,,,,,,TCP,
,,2829,,,05/02/2023 18:16:02,,,,,,False,,amazon.in,,,False,,,,,,,148.187.17.19,,98390,,,46196,,9764215510786,,,,,,8634,,,DNS
,,,,,06/30/2023 10:43:36,,,,,37890,False,True,,,,,,,,237.155.133.31,,,,457,10824,,,,,8405947460045,1196,,,,,,,,TCP
,2023-09-06T06:34:59.000Z,2974,,,,,,,fileshare.cc,27063,False,,,UDP,,,,5156243180412,,,,,,3464,,,,,45239,,,,,False,22.74.78.253,,,,
,,,,,1673067652,8648779601304,,,,,False,,amazon.in,HTTP,,,True,,,247.21.49.181,,,,4193,51279,1094,,28298,,,,,,,,,,,
,,,,,,,TCP,,facebook.com,41818,False,,,,,True,,8845554480649,06/29/2023 07:59:19,,,,,9284,,,,,,,2477,,24227,,7.47.29.111,,,,
,01/31/2023 09:24:07,,,,,6851414440345,,7107,,,False,True,netflix.com,HTTPS,,,,,,126.102.201.91,7244,,,,,,,,,,2636,,13548,,,,,,
amazon.in,2193,,,1066892570542,1695298914,,,,,45172,False,True,,,,,,,,,,,,,,,,,39702,,,,,,187.35.115.1,5890,,HTTPS,
